wl	density	SampleID	Locality	Taxon
539.51	1.863	Unique_flower_11	Loc_1	SpeciesB
546.49	0.726	Unique_flower_11	Loc_1	SpeciesB
553.45	1.314	Unique_flower_11	Loc_1	SpeciesB
560.39	2.013	Unique_flower_11	Loc_1	SpeciesB
567.32	1.263	Unique_flower_11	Loc_1	SpeciesB
574.23	1.038	Unique_flower_11	Loc_1	SpeciesB
581.12	1.745	Unique_flower_11	Loc_1	SpeciesB
587.99	2.458	Unique_flower_11	Loc_1	SpeciesB
594.85	3.053	Unique_flower_11	Loc_1	SpeciesB
601.69	5.112	Unique_flower_11	Loc_1	SpeciesB
608.51	6.812	Unique_flower_11	Loc_1	SpeciesB
615.32	8.201	Unique_flower_11	Loc_1	SpeciesB
622.11	8.871	Unique_flower_11	Loc_1	SpeciesB
628.88	9.52	Unique_flower_11	Loc_1	SpeciesB
635.63	11.431	Unique_flower_11	Loc_1	SpeciesB
642.36	14.903	Unique_flower_11	Loc_1	SpeciesB
649.07	19.632	Unique_flower_11	Loc_1	SpeciesB
655.77	27.329	Unique_flower_11	Loc_1	SpeciesB
662.45	34.023	Unique_flower_11	Loc_1	SpeciesB
669.11	40.613	Unique_flower_11	Loc_1	SpeciesB
675.75	47.889	Unique_flower_11	Loc_1	SpeciesB
682.37	52.957	Unique_flower_11	Loc_1	SpeciesB
688.97	56.332	Unique_flower_11	Loc_1	SpeciesB
695.55	58.006	Unique_flower_11	Loc_1	SpeciesB
298.34	4.167	Unique_flower_13	Loc_1	SpeciesB
305.82	2.495	Unique_flower_13	Loc_1	SpeciesB
313.27	3.076	Unique_flower_13	Loc_1	SpeciesB
320.72	2.256	Unique_flower_13	Loc_1	SpeciesB
328.15	2.027	Unique_flower_13	Loc_1	SpeciesB
335.57	1.931	Unique_flower_13	Loc_1	SpeciesB
342.98	2.764	Unique_flower_13	Loc_1	SpeciesB
350.37	2.645	Unique_flower_13	Loc_1	SpeciesB
357.75	1.948	Unique_flower_13	Loc_1	SpeciesB
365.11	2.333	Unique_flower_13	Loc_1	SpeciesB
372.46	2.992	Unique_flower_13	Loc_1	SpeciesB
379.8	2.735	Unique_flower_13	Loc_1	SpeciesB
387.12	3.907	Unique_flower_13	Loc_1	SpeciesB
394.43	6.089	Unique_flower_13	Loc_1	SpeciesB
401.72	10.732	Unique_flower_13	Loc_1	SpeciesB
409	15.675	Unique_flower_13	Loc_1	SpeciesB
416.26	21.304	Unique_flower_13	Loc_1	SpeciesB
423.51	24.911	Unique_flower_13	Loc_1	SpeciesB
430.75	27.374	Unique_flower_13	Loc_1	SpeciesB
439.05	26.821	Unique_flower_13	Loc_1	SpeciesB
446.25	26.4	Unique_flower_13	Loc_1	SpeciesB
453.44	25.024	Unique_flower_13	Loc_1	SpeciesB
460.61	23.082	Unique_flower_13	Loc_1	SpeciesB
467.77	19.952	Unique_flower_13	Loc_1	SpeciesB
474.91	17.48	Unique_flower_13	Loc_1	SpeciesB
482.03	13.578	Unique_flower_13	Loc_1	SpeciesB
489.14	10.721	Unique_flower_13	Loc_1	SpeciesB
496.24	8.607	Unique_flower_13	Loc_1	SpeciesB
503.31	6.523	Unique_flower_13	Loc_1	SpeciesB
511.43	5.233	Unique_flower_13	Loc_1	SpeciesB
518.48	3.774	Unique_flower_13	Loc_1	SpeciesB
525.5	3.399	Unique_flower_13	Loc_1	SpeciesB
532.51	2.278	Unique_flower_13	Loc_1	SpeciesB
539.51	2.561	Unique_flower_13	Loc_1	SpeciesB
546.49	2.217	Unique_flower_13	Loc_1	SpeciesB
553.45	2.628	Unique_flower_13	Loc_1	SpeciesB
560.39	3.019	Unique_flower_13	Loc_1	SpeciesB
567.32	2.689	Unique_flower_13	Loc_1	SpeciesB
574.23	2.785	Unique_flower_13	Loc_1	SpeciesB
581.12	3.574	Unique_flower_13	Loc_1	SpeciesB
587.99	4.287	Unique_flower_13	Loc_1	SpeciesB
594.85	5.503	Unique_flower_13	Loc_1	SpeciesB
601.69	8.108	Unique_flower_13	Loc_1	SpeciesB
608.51	10.106	Unique_flower_13	Loc_1	SpeciesB
615.32	11.756	Unique_flower_13	Loc_1	SpeciesB
622.11	13.307	Unique_flower_13	Loc_1	SpeciesB
628.88	13.531	Unique_flower_13	Loc_1	SpeciesB
635.63	16.694	Unique_flower_13	Loc_1	SpeciesB
642.36	19.647	Unique_flower_13	Loc_1	SpeciesB
649.07	24.31	Unique_flower_13	Loc_1	SpeciesB
655.77	32.133	Unique_flower_13	Loc_1	SpeciesB
662.45	38.115	Unique_flower_13	Loc_1	SpeciesB
669.11	43.727	Unique_flower_13	Loc_1	SpeciesB
675.75	49.719	Unique_flower_13	Loc_1	SpeciesB
682.37	53.416	Unique_flower_13	Loc_1	SpeciesB
688.97	55.895	Unique_flower_13	Loc_1	SpeciesB
695.55	56.95	Unique_flower_13	Loc_1	SpeciesB
298.34	1.302	Unique_flower_14	Loc_1	SpeciesB
305.82	0.399	Unique_flower_14	Loc_1	SpeciesB
313.27	1.579	Unique_flower_14	Loc_1	SpeciesB
320.72	1.504	Unique_flower_14	Loc_1	SpeciesB
328.15	0.946	Unique_flower_14	Loc_1	SpeciesB
335.57	0.436	Unique_flower_14	Loc_1	SpeciesB
342.98	2.2	Unique_flower_14	Loc_1	SpeciesB
350.37	1.632	Unique_flower_14	Loc_1	SpeciesB
357.75	1.435	Unique_flower_14	Loc_1	SpeciesB
365.11	1.333	Unique_flower_14	Loc_1	SpeciesB
372.46	1.777	Unique_flower_14	Loc_1	SpeciesB
379.8	1.583	Unique_flower_14	Loc_1	SpeciesB
387.12	3.582	Unique_flower_14	Loc_1	SpeciesB
394.43	5.71	Unique_flower_14	Loc_1	SpeciesB
401.72	11.457	Unique_flower_14	Loc_1	SpeciesB
409	17.85	Unique_flower_14	Loc_1	SpeciesB
416.26	23.522	Unique_flower_14	Loc_1	SpeciesB
423.51	27.583	Unique_flower_14	Loc_1	SpeciesB
430.75	29.687	Unique_flower_14	Loc_1	SpeciesB
439.05	29.033	Unique_flower_14	Loc_1	SpeciesB
446.25	28.443	Unique_flower_14	Loc_1	SpeciesB
453.44	26.809	Unique_flower_14	Loc_1	SpeciesB
460.61	24.603	Unique_flower_14	Loc_1	SpeciesB
467.77	22.612	Unique_flower_14	Loc_1	SpeciesB
474.91	19.017	Unique_flower_14	Loc_1	SpeciesB
482.03	15.275	Unique_flower_14	Loc_1	SpeciesB
489.14	12.106	Unique_flower_14	Loc_1	SpeciesB
496.24	9.284	Unique_flower_14	Loc_1	SpeciesB
503.31	7.061	Unique_flower_14	Loc_1	SpeciesB
511.43	5.606	Unique_flower_14	Loc_1	SpeciesB
518.48	3.601	Unique_flower_14	Loc_1	SpeciesB
525.5	2.883	Unique_flower_14	Loc_1	SpeciesB
532.51	1.587	Unique_flower_14	Loc_1	SpeciesB
539.51	2.289	Unique_flower_14	Loc_1	SpeciesB
546.49	1.491	Unique_flower_14	Loc_1	SpeciesB
553.45	2.543	Unique_flower_14	Loc_1	SpeciesB
560.39	2.264	Unique_flower_14	Loc_1	SpeciesB
567.32	2.2	Unique_flower_14	Loc_1	SpeciesB
574.23	2.567	Unique_flower_14	Loc_1	SpeciesB
581.12	3	Unique_flower_14	Loc_1	SpeciesB
587.99	4.615	Unique_flower_14	Loc_1	SpeciesB
594.85	6.234	Unique_flower_14	Loc_1	SpeciesB
601.69	9.378	Unique_flower_14	Loc_1	SpeciesB
608.51	11.449	Unique_flower_14	Loc_1	SpeciesB
615.32	13.907	Unique_flower_14	Loc_1	SpeciesB
622.11	15.903	Unique_flower_14	Loc_1	SpeciesB
628.88	16.829	Unique_flower_14	Loc_1	SpeciesB
635.63	19.49	Unique_flower_14	Loc_1	SpeciesB
642.36	23.426	Unique_flower_14	Loc_1	SpeciesB
649.07	28.549	Unique_flower_14	Loc_1	SpeciesB
655.77	35.207	Unique_flower_14	Loc_1	SpeciesB
662.45	40.736	Unique_flower_14	Loc_1	SpeciesB
669.11	45.818	Unique_flower_14	Loc_1	SpeciesB
675.75	51.454	Unique_flower_14	Loc_1	SpeciesB
682.37	54.562	Unique_flower_14	Loc_1	SpeciesB
688.97	56.812	Unique_flower_14	Loc_1	SpeciesB
695.55	57.499	Unique_flower_14	Loc_1	SpeciesB
298.34	2.995	Unique_flower_15	Loc_1	SpeciesB
305.82	1.996	Unique_flower_15	Loc_1	SpeciesB
313.27	3.408	Unique_flower_15	Loc_1	SpeciesB
320.72	2.666	Unique_flower_15	Loc_1	SpeciesB
328.15	2.635	Unique_flower_15	Loc_1	SpeciesB
335.57	1.495	Unique_flower_15	Loc_1	SpeciesB
342.98	3.158	Unique_flower_15	Loc_1	SpeciesB
350.37	2.701	Unique_flower_15	Loc_1	SpeciesB
357.75	2.204	Unique_flower_15	Loc_1	SpeciesB
365.11	2.714	Unique_flower_15	Loc_1	SpeciesB
372.46	3.366	Unique_flower_15	Loc_1	SpeciesB
379.8	2.699	Unique_flower_15	Loc_1	SpeciesB
387.12	3.944	Unique_flower_15	Loc_1	SpeciesB
394.43	5.986	Unique_flower_15	Loc_1	SpeciesB
401.72	10.49	Unique_flower_15	Loc_1	SpeciesB
409	15.771	Unique_flower_15	Loc_1	SpeciesB
416.26	21.237	Unique_flower_15	Loc_1	SpeciesB
423.51	24.941	Unique_flower_15	Loc_1	SpeciesB
430.75	26.694	Unique_flower_15	Loc_1	SpeciesB
439.05	26.276	Unique_flower_15	Loc_1	SpeciesB
446.25	25.534	Unique_flower_15	Loc_1	SpeciesB
453.44	25.088	Unique_flower_15	Loc_1	SpeciesB
460.61	22.46	Unique_flower_15	Loc_1	SpeciesB
467.77	19.105	Unique_flower_15	Loc_1	SpeciesB
474.91	15.597	Unique_flower_15	Loc_1	SpeciesB
482.03	12.712	Unique_flower_15	Loc_1	SpeciesB
489.14	9.466	Unique_flower_15	Loc_1	SpeciesB
496.24	7.511	Unique_flower_15	Loc_1	SpeciesB
503.31	5.735	Unique_flower_15	Loc_1	SpeciesB
511.43	4.859	Unique_flower_15	Loc_1	SpeciesB
518.48	3.384	Unique_flower_15	Loc_1	SpeciesB
525.5	3.012	Unique_flower_15	Loc_1	SpeciesB
532.51	1.831	Unique_flower_15	Loc_1	SpeciesB
539.51	3.182	Unique_flower_15	Loc_1	SpeciesB
546.49	2.136	Unique_flower_15	Loc_1	SpeciesB
553.45	2.459	Unique_flower_15	Loc_1	SpeciesB
560.39	2.683	Unique_flower_15	Loc_1	SpeciesB
567.32	2.363	Unique_flower_15	Loc_1	SpeciesB
574.23	2.348	Unique_flower_15	Loc_1	SpeciesB
581.12	3.043	Unique_flower_15	Loc_1	SpeciesB
587.99	3.468	Unique_flower_15	Loc_1	SpeciesB
594.85	4.517	Unique_flower_15	Loc_1	SpeciesB
601.69	6.154	Unique_flower_15	Loc_1	SpeciesB
608.51	7.867	Unique_flower_15	Loc_1	SpeciesB
615.32	9.23	Unique_flower_15	Loc_1	SpeciesB
622.11	9.845	Unique_flower_15	Loc_1	SpeciesB
628.88	9.258	Unique_flower_15	Loc_1	SpeciesB
635.63	11.842	Unique_flower_15	Loc_1	SpeciesB
642.36	16.121	Unique_flower_15	Loc_1	SpeciesB
649.07	20.392	Unique_flower_15	Loc_1	SpeciesB
655.77	29.107	Unique_flower_15	Loc_1	SpeciesB
662.45	35.172	Unique_flower_15	Loc_1	SpeciesB
669.11	42.007	Unique_flower_15	Loc_1	SpeciesB
675.75	48.452	Unique_flower_15	Loc_1	SpeciesB
682.37	53.508	Unique_flower_15	Loc_1	SpeciesB
688.97	56.245	Unique_flower_15	Loc_1	SpeciesB
695.55	57.626	Unique_flower_15	Loc_1	SpeciesB
298.34	1.432	Unique_flower_16	Loc_1	SpeciesB
305.82	1.098	Unique_flower_16	Loc_1	SpeciesB
313.27	1.496	Unique_flower_16	Loc_1	SpeciesB
320.72	1.846	Unique_flower_16	Loc_1	SpeciesB
328.15	1.014	Unique_flower_16	Loc_1	SpeciesB
335.57	0.125	Unique_flower_16	Loc_1	SpeciesB
342.98	1.974	Unique_flower_16	Loc_1	SpeciesB
350.37	1.069	Unique_flower_16	Loc_1	SpeciesB
357.75	0.718	Unique_flower_16	Loc_1	SpeciesB
365.11	1.81	Unique_flower_16	Loc_1	SpeciesB
372.46	1.777	Unique_flower_16	Loc_1	SpeciesB
379.8	1.943	Unique_flower_16	Loc_1	SpeciesB
387.12	3.944	Unique_flower_16	Loc_1	SpeciesB
394.43	6.158	Unique_flower_16	Loc_1	SpeciesB
401.72	10.58	Unique_flower_16	Loc_1	SpeciesB
409	15.675	Unique_flower_16	Loc_1	SpeciesB
416.26	19.724	Unique_flower_16	Loc_1	SpeciesB
423.51	22.536	Unique_flower_16	Loc_1	SpeciesB
430.75	22.776	Unique_flower_16	Loc_1	SpeciesB
439.05	22.396	Unique_flower_16	Loc_1	SpeciesB
446.25	21.479	Unique_flower_16	Loc_1	SpeciesB
453.44	20.179	Unique_flower_16	Loc_1	SpeciesB
460.61	18.176	Unique_flower_16	Loc_1	SpeciesB
467.77	15.276	Unique_flower_16	Loc_1	SpeciesB
474.91	13.1	Unique_flower_16	Loc_1	SpeciesB
482.03	10.045	Unique_flower_16	Loc_1	SpeciesB
489.14	7.791	Unique_flower_16	Loc_1	SpeciesB
496.24	5.513	Unique_flower_16	Loc_1	SpeciesB
503.31	3.871	Unique_flower_16	Loc_1	SpeciesB
511.43	2.949	Unique_flower_16	Loc_1	SpeciesB
518.48	2.386	Unique_flower_16	Loc_1	SpeciesB
525.5	1.85	Unique_flower_16	Loc_1	SpeciesB
532.51	0.936	Unique_flower_16	Loc_1	SpeciesB
539.51	1.979	Unique_flower_16	Loc_1	SpeciesB
546.49	1.491	Unique_flower_16	Loc_1	SpeciesB
553.45	1.823	Unique_flower_16	Loc_1	SpeciesB
560.39	2.138	Unique_flower_16	Loc_1	SpeciesB
567.32	1.426	Unique_flower_16	Loc_1	SpeciesB
574.23	1.857	Unique_flower_16	Loc_1	SpeciesB
581.12	2.702	Unique_flower_16	Loc_1	SpeciesB
587.99	3.768	Unique_flower_16	Loc_1	SpeciesB
594.85	4.962	Unique_flower_16	Loc_1	SpeciesB
601.69	7.978	Unique_flower_16	Loc_1	SpeciesB
608.51	10.106	Unique_flower_16	Loc_1	SpeciesB
615.32	12.722	Unique_flower_16	Loc_1	SpeciesB
622.11	13.631	Unique_flower_16	Loc_1	SpeciesB
628.88	13.231	Unique_flower_16	Loc_1	SpeciesB
635.63	16.324	Unique_flower_16	Loc_1	SpeciesB
642.36	20.235	Unique_flower_16	Loc_1	SpeciesB
649.07	23.87	Unique_flower_16	Loc_1	SpeciesB
655.77	31.1	Unique_flower_16	Loc_1	SpeciesB
662.45	36.322	Unique_flower_16	Loc_1	SpeciesB
669.11	41.543	Unique_flower_16	Loc_1	SpeciesB
675.75	46.717	Unique_flower_16	Loc_1	SpeciesB
682.37	49.885	Unique_flower_16	Loc_1	SpeciesB
688.97	53.013	Unique_flower_16	Loc_1	SpeciesB
695.55	54.288	Unique_flower_16	Loc_1	SpeciesB
298.34	1.042	Unique_flower_17	Loc_1	SpeciesB
305.82	1.597	Unique_flower_17	Loc_1	SpeciesB
313.27	1.496	Unique_flower_17	Loc_1	SpeciesB
320.72	0.957	Unique_flower_17	Loc_1	SpeciesB
328.15	0.405	Unique_flower_17	Loc_1	SpeciesB
335.57	0.436	Unique_flower_17	Loc_1	SpeciesB
342.98	1.354	Unique_flower_17	Loc_1	SpeciesB
350.37	1.913	Unique_flower_17	Loc_1	SpeciesB
357.75	1.23	Unique_flower_17	Loc_1	SpeciesB
365.11	1.524	Unique_flower_17	Loc_1	SpeciesB
372.46	1.917	Unique_flower_17	Loc_1	SpeciesB
379.8	1.799	Unique_flower_17	Loc_1	SpeciesB
387.12	3.256	Unique_flower_17	Loc_1	SpeciesB
394.43	4.678	Unique_flower_17	Loc_1	SpeciesB
401.72	8.676	Unique_flower_17	Loc_1	SpeciesB
409	12.668	Unique_flower_17	Loc_1	SpeciesB
416.26	16.969	Unique_flower_17	Loc_1	SpeciesB
423.51	19.685	Unique_flower_17	Loc_1	SpeciesB
430.75	20.789	Unique_flower_17	Loc_1	SpeciesB
439.05	20.796	Unique_flower_17	Loc_1	SpeciesB
446.25	20.118	Unique_flower_17	Loc_1	SpeciesB
453.44	18.553	Unique_flower_17	Loc_1	SpeciesB
460.61	16.69	Unique_flower_17	Loc_1	SpeciesB
467.77	14.268	Unique_flower_17	Loc_1	SpeciesB
474.91	11.679	Unique_flower_17	Loc_1	SpeciesB
482.03	9.11	Unique_flower_17	Loc_1	SpeciesB
489.14	7.18	Unique_flower_17	Loc_1	SpeciesB
496.24	4.965	Unique_flower_17	Loc_1	SpeciesB
503.31	4.014	Unique_flower_17	Loc_1	SpeciesB
511.43	2.99	Unique_flower_17	Loc_1	SpeciesB
518.48	2.213	Unique_flower_17	Loc_1	SpeciesB
525.5	2.453	Unique_flower_17	Loc_1	SpeciesB
532.51	0.936	Unique_flower_17	Loc_1	SpeciesB
539.51	2.251	Unique_flower_17	Loc_1	SpeciesB
546.49	1.169	Unique_flower_17	Loc_1	SpeciesB
553.45	1.696	Unique_flower_17	Loc_1	SpeciesB
560.39	2.013	Unique_flower_17	Loc_1	SpeciesB
567.32	1.752	Unique_flower_17	Loc_1	SpeciesB
574.23	1.83	Unique_flower_17	Loc_1	SpeciesB
581.12	2.426	Unique_flower_17	Loc_1	SpeciesB
587.99	3.031	Unique_flower_17	Loc_1	SpeciesB
594.85	3.594	Unique_flower_17	Loc_1	SpeciesB
601.69	5.861	Unique_flower_17	Loc_1	SpeciesB
608.51	7.547	Unique_flower_17	Loc_1	SpeciesB
615.32	8.98	Unique_flower_17	Loc_1	SpeciesB
622.11	9.989	Unique_flower_17	Loc_1	SpeciesB
628.88	10.532	Unique_flower_17	Loc_1	SpeciesB
635.63	12.993	Unique_flower_17	Loc_1	SpeciesB
642.36	16.541	Unique_flower_17	Loc_1	SpeciesB
649.07	20.072	Unique_flower_17	Loc_1	SpeciesB
655.77	26.609	Unique_flower_17	Loc_1	SpeciesB
662.45	32.092	Unique_flower_17	Loc_1	SpeciesB
669.11	37.407	Unique_flower_17	Loc_1	SpeciesB
675.75	43.856	Unique_flower_17	Loc_1	SpeciesB
682.37	47.73	Unique_flower_17	Loc_1	SpeciesB
688.97	49.913	Unique_flower_17	Loc_1	SpeciesB
695.55	51.627	Unique_flower_17	Loc_1	SpeciesB
298.34	3.125	Unique_flower_18	Loc_1	SpeciesB
305.82	2.994	Unique_flower_18	Loc_1	SpeciesB
313.27	2.993	Unique_flower_18	Loc_1	SpeciesB
320.72	2.529	Unique_flower_18	Loc_1	SpeciesB
328.15	2.838	Unique_flower_18	Loc_1	SpeciesB
335.57	1.495	Unique_flower_18	Loc_1	SpeciesB
342.98	2.312	Unique_flower_18	Loc_1	SpeciesB
350.37	2.251	Unique_flower_18	Loc_1	SpeciesB
357.75	1.896	Unique_flower_18	Loc_1	SpeciesB
365.11	2.571	Unique_flower_18	Loc_1	SpeciesB
372.46	2.618	Unique_flower_18	Loc_1	SpeciesB
379.8	2.087	Unique_flower_18	Loc_1	SpeciesB
387.12	3.256	Unique_flower_18	Loc_1	SpeciesB
394.43	4.782	Unique_flower_18	Loc_1	SpeciesB
401.72	9.311	Unique_flower_18	Loc_1	SpeciesB
409	15.035	Unique_flower_18	Loc_1	SpeciesB
416.26	21.102	Unique_flower_18	Loc_1	SpeciesB
423.51	25.238	Unique_flower_18	Loc_1	SpeciesB
430.75	26.313	Unique_flower_18	Loc_1	SpeciesB
439.05	26.413	Unique_flower_18	Loc_1	SpeciesB
446.25	25.472	Unique_flower_18	Loc_1	SpeciesB
453.44	24.227	Unique_flower_18	Loc_1	SpeciesB
460.61	22.771	Unique_flower_18	Loc_1	SpeciesB
467.77	19.468	Unique_flower_18	Loc_1	SpeciesB
474.91	17.979	Unique_flower_18	Loc_1	SpeciesB
482.03	13.751	Unique_flower_18	Loc_1	SpeciesB
489.14	11.14	Unique_flower_18	Loc_1	SpeciesB
496.24	8.317	Unique_flower_18	Loc_1	SpeciesB
503.31	6.452	Unique_flower_18	Loc_1	SpeciesB
511.43	4.859	Unique_flower_18	Loc_1	SpeciesB
518.48	3.297	Unique_flower_18	Loc_1	SpeciesB
525.5	3.571	Unique_flower_18	Loc_1	SpeciesB
532.51	2.238	Unique_flower_18	Loc_1	SpeciesB
539.51	2.406	Unique_flower_18	Loc_1	SpeciesB
546.49	1.29	Unique_flower_18	Loc_1	SpeciesB
553.45	1.823	Unique_flower_18	Loc_1	SpeciesB
560.39	2.935	Unique_flower_18	Loc_1	SpeciesB
567.32	1.834	Unique_flower_18	Loc_1	SpeciesB
574.23	1.966	Unique_flower_18	Loc_1	SpeciesB
581.12	2.979	Unique_flower_18	Loc_1	SpeciesB
587.99	3.441	Unique_flower_18	Loc_1	SpeciesB
594.85	5.121	Unique_flower_18	Loc_1	SpeciesB
601.69	7.75	Unique_flower_18	Loc_1	SpeciesB
608.51	10.393	Unique_flower_18	Loc_1	SpeciesB
615.32	12.566	Unique_flower_18	Loc_1	SpeciesB
622.11	14.172	Unique_flower_18	Loc_1	SpeciesB
628.88	14.993	Unique_flower_18	Loc_1	SpeciesB
635.63	16.982	Unique_flower_18	Loc_1	SpeciesB
642.36	21.201	Unique_flower_18	Loc_1	SpeciesB
649.07	26.389	Unique_flower_18	Loc_1	SpeciesB
655.77	32.781	Unique_flower_18	Loc_1	SpeciesB
662.45	37.609	Unique_flower_18	Loc_1	SpeciesB
669.11	42.612	Unique_flower_18	Loc_1	SpeciesB
675.75	46.295	Unique_flower_18	Loc_1	SpeciesB
682.37	50.023	Unique_flower_18	Loc_1	SpeciesB
688.97	51.703	Unique_flower_18	Loc_1	SpeciesB
695.55	52.176	Unique_flower_18	Loc_1	SpeciesB
298.34	1.563	Unique_flower_19	Loc_1	SpeciesB
305.82	1.297	Unique_flower_19	Loc_1	SpeciesB
313.27	2.328	Unique_flower_19	Loc_1	SpeciesB
320.72	1.982	Unique_flower_19	Loc_1	SpeciesB
328.15	2.095	Unique_flower_19	Loc_1	SpeciesB
335.57	1.682	Unique_flower_19	Loc_1	SpeciesB
342.98	2.707	Unique_flower_19	Loc_1	SpeciesB
350.37	3.039	Unique_flower_19	Loc_1	SpeciesB
357.75	1.999	Unique_flower_19	Loc_1	SpeciesB
365.11	2.095	Unique_flower_19	Loc_1	SpeciesB
372.46	2.665	Unique_flower_19	Loc_1	SpeciesB
379.8	2.375	Unique_flower_19	Loc_1	SpeciesB
387.12	3.111	Unique_flower_19	Loc_1	SpeciesB
394.43	3.818	Unique_flower_19	Loc_1	SpeciesB
401.72	8.343	Unique_flower_19	Loc_1	SpeciesB
409	13.564	Unique_flower_19	Loc_1	SpeciesB
416.26	21.001	Unique_flower_19	Loc_1	SpeciesB
423.51	25.92	Unique_flower_19	Loc_1	SpeciesB
430.75	28.707	Unique_flower_19	Loc_1	SpeciesB
439.05	28.999	Unique_flower_19	Loc_1	SpeciesB
446.25	28.815	Unique_flower_19	Loc_1	SpeciesB
453.44	27.192	Unique_flower_19	Loc_1	SpeciesB
460.61	24.983	Unique_flower_19	Loc_1	SpeciesB
467.77	22.531	Unique_flower_19	Loc_1	SpeciesB
474.91	19.708	Unique_flower_19	Loc_1	SpeciesB
482.03	16.176	Unique_flower_19	Loc_1	SpeciesB
489.14	12.556	Unique_flower_19	Loc_1	SpeciesB
496.24	9.736	Unique_flower_19	Loc_1	SpeciesB
503.31	7.742	Unique_flower_19	Loc_1	SpeciesB
511.43	6.229	Unique_flower_19	Loc_1	SpeciesB
518.48	4.078	Unique_flower_19	Loc_1	SpeciesB
525.5	3.399	Unique_flower_19	Loc_1	SpeciesB
532.51	2.889	Unique_flower_19	Loc_1	SpeciesB
539.51	2.988	Unique_flower_19	Loc_1	SpeciesB
546.49	2.096	Unique_flower_19	Loc_1	SpeciesB
553.45	2.331	Unique_flower_19	Loc_1	SpeciesB
560.39	3.438	Unique_flower_19	Loc_1	SpeciesB
567.32	2.567	Unique_flower_19	Loc_1	SpeciesB
574.23	2.075	Unique_flower_19	Loc_1	SpeciesB
581.12	2.766	Unique_flower_19	Loc_1	SpeciesB
587.99	3.768	Unique_flower_19	Loc_1	SpeciesB
594.85	4.612	Unique_flower_19	Loc_1	SpeciesB
601.69	6.675	Unique_flower_19	Loc_1	SpeciesB
608.51	7.931	Unique_flower_19	Loc_1	SpeciesB
615.32	9.51	Unique_flower_19	Loc_1	SpeciesB
622.11	9.701	Unique_flower_19	Loc_1	SpeciesB
628.88	9.82	Unique_flower_19	Loc_1	SpeciesB
635.63	11.678	Unique_flower_19	Loc_1	SpeciesB
642.36	15.449	Unique_flower_19	Loc_1	SpeciesB
649.07	20.472	Unique_flower_19	Loc_1	SpeciesB
655.77	27.978	Unique_flower_19	Loc_1	SpeciesB
662.45	34.115	Unique_flower_19	Loc_1	SpeciesB
669.11	39.823	Unique_flower_19	Loc_1	SpeciesB
675.75	45.403	Unique_flower_19	Loc_1	SpeciesB
682.37	49.84	Unique_flower_19	Loc_1	SpeciesB
688.97	53.624	Unique_flower_19	Loc_1	SpeciesB
695.55	53.359	Unique_flower_19	Loc_1	SpeciesB
298.34	4.427	Unique_flower_20	Loc_1	SpeciesB
305.82	3.293	Unique_flower_20	Loc_1	SpeciesB
313.27	4.323	Unique_flower_20	Loc_1	SpeciesB
320.72	3.144	Unique_flower_20	Loc_1	SpeciesB
328.15	3.514	Unique_flower_20	Loc_1	SpeciesB
335.57	2.617	Unique_flower_20	Loc_1	SpeciesB
342.98	4.287	Unique_flower_20	Loc_1	SpeciesB
350.37	3.77	Unique_flower_20	Loc_1	SpeciesB
357.75	2.922	Unique_flower_20	Loc_1	SpeciesB
365.11	4.095	Unique_flower_20	Loc_1	SpeciesB
