Herd_uniqueID,Herd_size_n,Date,date_as_date,Survey_month,survey_day,Year,Locality,survey_day_n,Year_Month,food.quantity
Herd_496,1,13_05_2017,17/05/13,May,267,2017,Locality A,267,2017 May,2.688678
Herd_504,3,13_05_2017,17/05/13,May,267,2017,Locality A,267,2017 May,2.688678
Herd_507,3,13_05_2017,17/05/13,May,267,2017,Locality A,267,2017 May,2.688678
Herd_515,0,14_05_2017,17/05/14,May,268,2017,Locality A,268,2017 May,2.688678
Herd_503,9,12_06_2017,17/06/12,June,297,2017,Locality A,297,2017 June,2.739288
Herd_489,6,13_06_2017,17/06/13,June,298,2017,Locality A,298,2017 June,2.739288
Herd_506,8,14_06_2017,17/06/14,June,299,2017,Locality A,299,2017 June,2.739288
Herd_501,4,15_06_2017,17/06/15,June,300,2017,Locality A,300,2017 June,2.739288
Herd_502,1,15_06_2017,17/06/15,June,300,2017,Locality A,300,2017 June,2.739288
Herd_512,2,15_06_2017,17/06/15,June,300,2017,Locality A,300,2017 June,2.739288
Herd_513,0,13_07_2017,17/07/13,July,328,2017,Locality A,328,2017 July,2.943662
Herd_354,2,19_08_2016,16/08/19,August,0,2016,Locality B,0,2016 August,2.939383
Herd_364,67,19_08_2016,16/08/19,August,0,2016,Locality B,0,2016 August,2.939383
Herd_404,73,20_08_2016,16/08/20,August,1,2016,Locality B,1,2016 August,2.939383
Herd_414,15,20_08_2016,16/08/20,August,1,2016,Locality B,1,2016 August,2.939383
Herd_345,65,21_08_2016,16/08/21,August,2,2016,Locality B,2,2016 August,2.939383
Herd_365,9,21_08_2016,16/08/21,August,2,2016,Locality B,2,2016 August,2.939383
Herd_346,8,22_08_2016,16/08/22,August,3,2016,Locality B,3,2016 August,2.939383
Herd_347,87,22_08_2016,16/08/22,August,3,2016,Locality B,3,2016 August,2.939383
Herd_391,64,20_09_2016,16/09/20,September,32,2016,Locality B,32,2016 September,2.932263
Herd_387,11,21_09_2016,16/09/21,September,33,2016,Locality B,33,2016 September,2.932263
Herd_388,23,22_09_2016,16/09/22,September,34,2016,Locality B,34,2016 September,2.932263
Herd_398,1,23_09_2016,16/09/23,September,35,2016,Locality B,35,2016 September,2.932263
Herd_411,27,23_09_2016,16/09/23,September,35,2016,Locality B,35,2016 September,2.932263
Herd_368,26,12_10_2016,16/10/12,October,54,2016,Locality B,54,2016 October,2.95247
Herd_395,60,13_10_2016,16/10/13,October,55,2016,Locality B,55,2016 October,2.95247
Herd_343,48,14_10_2016,16/10/14,October,56,2016,Locality B,56,2016 October,2.95247
Herd_355,3,14_10_2016,16/10/14,October,56,2016,Locality B,56,2016 October,2.95247
Herd_359,60,15_10_2016,16/10/15,October,57,2016,Locality B,57,2016 October,2.95247
Herd_377,33,15_11_2016,16/11/15,November,88,2016,Locality B,88,2016 November,2.750908
Herd_341,3,16_11_2016,16/11/16,November,89,2016,Locality B,89,2016 November,2.750908
Herd_366,7,16_11_2016,16/11/16,November,89,2016,Locality B,89,2016 November,2.750908
Herd_367,27,17_11_2016,16/11/17,November,90,2016,Locality B,90,2016 November,2.750908
Herd_378,4,17_11_2016,16/11/17,November,90,2016,Locality B,90,2016 November,2.750908
Herd_372,26,18_11_2016,16/11/18,November,91,2016,Locality B,91,2016 November,2.750908
Herd_394,3,18_11_2016,16/11/18,November,91,2016,Locality B,91,2016 November,2.750908
Herd_405,2,18_11_2016,16/11/18,November,91,2016,Locality B,91,2016 November,2.750908
Herd_383,26,13_12_2016,16/12/13,December,116,2016,Locality B,116,2016 December,2.952983
Herd_417,1,13_12_2016,16/12/13,December,116,2016,Locality B,116,2016 December,2.952983
Herd_342,1,14_12_2016,16/12/14,December,117,2016,Locality B,117,2016 December,2.952983
Herd_358,28,14_12_2016,16/12/14,December,117,2016,Locality B,117,2016 December,2.952983
Herd_392,2,14_12_2016,16/12/14,December,117,2016,Locality B,117,2016 December,2.952983
Herd_371,1,15_12_2016,16/12/15,December,118,2016,Locality B,118,2016 December,2.952983
Herd_400,41,15_12_2016,16/12/15,December,118,2016,Locality B,118,2016 December,2.952983
Herd_363,46,16_12_2016,16/12/16,December,119,2016,Locality B,119,2016 December,2.952983
Herd_408,1,16_12_2016,16/12/16,December,119,2016,Locality B,119,2016 December,2.952983
Herd_370,52,17_01_2017,17/01/17,January,151,2017,Locality B,151,2017 January,2.935191
Herd_382,31,18_01_2017,17/01/18,January,152,2017,Locality B,152,2017 January,2.935191
Herd_352,7,19_01_2017,17/01/19,January,153,2017,Locality B,153,2017 January,2.935191
Herd_353,49,19_01_2017,17/01/19,January,153,2017,Locality B,153,2017 January,2.935191
Herd_374,2,20_01_2017,17/01/20,January,154,2017,Locality B,154,2017 January,2.935191
Herd_415,2,20_01_2017,17/01/20,January,154,2017,Locality B,154,2017 January,2.935191
Herd_418,49,20_01_2017,17/01/20,January,154,2017,Locality B,154,2017 January,2.935191
Herd_357,2,24_02_2017,17/02/24,February,189,2017,Locality B,189,2017 February,2.882005
Herd_393,43,24_02_2017,17/02/24,February,189,2017,Locality B,189,2017 February,2.882005
Herd_407,49,25_02_2017,17/02/25,February,190,2017,Locality B,190,2017 February,2.882005
Herd_412,2,25_02_2017,17/02/25,February,190,2017,Locality B,190,2017 February,2.882005
Herd_413,2,25_02_2017,17/02/25,February,190,2017,Locality B,190,2017 February,2.882005
Herd_350,6,27_02_2017,17/02/27,February,192,2017,Locality B,192,2017 February,2.882005
Herd_356,1,27_02_2017,17/02/27,February,192,2017,Locality B,192,2017 February,2.882005
Herd_402,43,27_02_2017,17/02/27,February,192,2017,Locality B,192,2017 February,2.882005
Herd_401,48,28_02_2017,17/02/28,February,193,2017,Locality B,193,2017 February,2.882005
Herd_416,1,28_02_2017,17/02/28,February,193,2017,Locality B,193,2017 February,2.882005
Herd_369,12,21_03_2017,17/03/21,March,214,2017,Locality B,214,2017 March,2.916016
Herd_349,1,22_03_2017,17/03/22,March,215,2017,Locality B,215,2017 March,2.916016
Herd_380,29,22_03_2017,17/03/22,March,215,2017,Locality B,215,2017 March,2.916016
Herd_386,1,23_03_2017,17/03/23,March,216,2017,Locality B,216,2017 March,2.916016
Herd_389,30,23_03_2017,17/03/23,March,216,2017,Locality B,216,2017 March,2.916016
Herd_403,3,24_03_2017,17/03/24,March,217,2017,Locality B,217,2017 March,2.916016
Herd_409,13,24_03_2017,17/03/24,March,217,2017,Locality B,217,2017 March,2.916016
Herd_410,12,24_03_2017,17/03/24,March,217,2017,Locality B,217,2017 March,2.916016
Herd_381,14,19_04_2017,17/04/19,April,243,2017,Locality B,243,2017 April,2.935527
Herd_390,18,19_04_2017,17/04/19,April,243,2017,Locality B,243,2017 April,2.935527
Herd_385,32,20_04_2017,17/04/20,April,244,2017,Locality B,244,2017 April,2.935527
Herd_361,36,21_04_2017,17/04/21,April,245,2017,Locality B,245,2017 April,2.935527
Herd_362,36,22_04_2017,17/04/22,April,246,2017,Locality B,246,2017 April,2.935527
Herd_344,18,09_05_2017,17/05/09,May,263,2017,Locality B,263,2017 May,2.949818
Herd_376,32,13_05_2017,17/05/13,May,267,2017,Locality B,267,2017 May,2.949818
Herd_373,27,14_05_2017,17/05/14,May,268,2017,Locality B,268,2017 May,2.949818
Herd_339,44,12_06_2017,17/06/12,June,297,2017,Locality B,297,2017 June,2.963818
Herd_360,1,13_06_2017,17/06/13,June,298,2017,Locality B,298,2017 June,2.963818
Herd_375,14,13_06_2017,17/06/13,June,298,2017,Locality B,298,2017 June,2.963818
Herd_397,6,13_06_2017,17/06/13,June,298,2017,Locality B,298,2017 June,2.963818
Herd_384,14,14_06_2017,17/06/14,June,299,2017,Locality B,299,2017 June,2.963818
Herd_406,25,14_06_2017,17/06/14,June,299,2017,Locality B,299,2017 June,2.963818
Herd_348,39,15_06_2017,17/06/15,June,300,2017,Locality B,300,2017 June,2.963818
Herd_351,6,15_06_2017,17/06/15,June,300,2017,Locality B,300,2017 June,2.963818
Herd_379,37,13_07_2017,17/07/13,July,328,2017,Locality B,328,2017 July,2.9464
Herd_340,30,14_07_2017,17/07/14,July,329,2017,Locality B,329,2017 July,2.9464
Herd_399,38,15_07_2017,17/07/15,July,330,2017,Locality B,330,2017 July,2.9464
Herd_396,34,16_07_2017,17/07/16,July,331,2017,Locality B,331,2017 July,2.9464
Herd_251,1,19_08_2016,16/08/19,August,0,2016,Locality C,0,2016 August,2.583644
Herd_252,2,19_08_2016,16/08/19,August,0,2016,Locality C,0,2016 August,2.583644
Herd_262,2,19_08_2016,16/08/19,August,0,2016,Locality C,0,2016 August,2.583644
Herd_270,1,19_08_2016,16/08/19,August,0,2016,Locality C,0,2016 August,2.583644
Herd_264,2,20_08_2016,16/08/20,August,1,2016,Locality C,1,2016 August,2.583644
Herd_276,1,20_08_2016,16/08/20,August,1,2016,Locality C,1,2016 August,2.583644
Herd_287,2,20_08_2016,16/08/20,August,1,2016,Locality C,1,2016 August,2.583644
Herd_289,1,21_08_2016,16/08/21,August,2,2016,Locality C,2,2016 August,2.583644
Herd_300,2,21_08_2016,16/08/21,August,2,2016,Locality C,2,2016 August,2.583644
Herd_304,1,21_08_2016,16/08/21,August,2,2016,Locality C,2,2016 August,2.583644
Herd_319,5,21_08_2016,16/08/21,August,2,2016,Locality C,2,2016 August,2.583644
Herd_333,8,22_08_2016,16/08/22,August,3,2016,Locality C,3,2016 August,2.583644
Herd_298,1,20_09_2016,16/09/20,September,32,2016,Locality C,32,2016 September,2.681743
Herd_316,3,20_09_2016,16/09/20,September,32,2016,Locality C,32,2016 September,2.681743
Herd_326,1,20_09_2016,16/09/20,September,32,2016,Locality C,32,2016 September,2.681743
Herd_328,1,21_09_2016,16/09/21,September,33,2016,Locality C,33,2016 September,2.681743
Herd_329,4,21_09_2016,16/09/21,September,33,2016,Locality C,33,2016 September,2.681743
Herd_269,4,22_09_2016,16/09/22,September,34,2016,Locality C,34,2016 September,2.681743
Herd_267,3,23_09_2016,16/09/23,September,35,2016,Locality C,35,2016 September,2.681743
Herd_290,2,23_09_2016,16/09/23,September,35,2016,Locality C,35,2016 September,2.681743
Herd_296,1,12_10_2016,16/10/12,October,54,2016,Locality C,54,2016 October,2.802998
Herd_258,4,13_10_2016,16/10/13,October,55,2016,Locality C,55,2016 October,2.802998
Herd_240,4,14_10_2016,16/10/14,October,56,2016,Locality C,56,2016 October,2.802998
Herd_299,3,15_10_2016,16/10/15,October,57,2016,Locality C,57,2016 October,2.802998
Herd_243,3,13_12_2016,16/12/13,December,116,2016,Locality C,116,2016 December,2.681312
Herd_255,4,13_12_2016,16/12/13,December,116,2016,Locality C,116,2016 December,2.681312
Herd_285,3,13_12_2016,16/12/13,December,116,2016,Locality C,116,2016 December,2.681312
Herd_320,10,14_12_2016,16/12/14,December,117,2016,Locality C,117,2016 December,2.681312
Herd_335,3,14_12_2016,16/12/14,December,117,2016,Locality C,117,2016 December,2.681312
Herd_265,1,15_12_2016,16/12/15,December,118,2016,Locality C,118,2016 December,2.681312
Herd_273,16,15_12_2016,16/12/15,December,118,2016,Locality C,118,2016 December,2.681312
Herd_295,3,15_12_2016,16/12/15,December,118,2016,Locality C,118,2016 December,2.681312
Herd_279,9,16_12_2016,16/12/16,December,119,2016,Locality C,119,2016 December,2.681312
Herd_301,3,16_12_2016,16/12/16,December,119,2016,Locality C,119,2016 December,2.681312
Herd_297,1,17_01_2017,17/01/17,January,151,2017,Locality C,151,2017 January,2.691794
Herd_302,1,17_01_2017,17/01/17,January,151,2017,Locality C,151,2017 January,2.691794
Herd_256,1,18_01_2017,17/01/18,January,152,2017,Locality C,152,2017 January,2.691794
Herd_283,1,19_01_2017,17/01/19,January,153,2017,Locality C,153,2017 January,2.691794
Herd_293,3,24_02_2017,17/02/24,February,189,2017,Locality C,189,2017 February,1.644539
Herd_313,2,24_02_2017,17/02/24,February,189,2017,Locality C,189,2017 February,1.644539
Herd_315,3,24_02_2017,17/02/24,February,189,2017,Locality C,189,2017 February,1.644539
Herd_278,12,25_02_2017,17/02/25,February,190,2017,Locality C,190,2017 February,1.644539
Herd_307,2,28_02_2017,17/02/28,February,193,2017,Locality C,193,2017 February,1.644539
Herd_259,4,21_03_2017,17/03/21,March,214,2017,Locality C,214,2017 March,1.94384
Herd_260,6,21_03_2017,17/03/21,March,214,2017,Locality C,214,2017 March,1.94384
Herd_292,1,21_03_2017,17/03/21,March,214,2017,Locality C,214,2017 March,1.94384
Herd_306,2,21_03_2017,17/03/21,March,214,2017,Locality C,214,2017 March,1.94384
Herd_241,12,22_03_2017,17/03/22,March,215,2017,Locality C,215,2017 March,1.94384
Herd_263,3,22_03_2017,17/03/22,March,215,2017,Locality C,215,2017 March,1.94384
Herd_317,3,23_03_2017,17/03/23,March,216,2017,Locality C,216,2017 March,1.94384
Herd_323,8,23_03_2017,17/03/23,March,216,2017,Locality C,216,2017 March,1.94384
Herd_324,1,23_03_2017,17/03/23,March,216,2017,Locality C,216,2017 March,1.94384
Herd_336,8,23_03_2017,17/03/23,March,216,2017,Locality C,216,2017 March,1.94384
Herd_303,5,24_03_2017,17/03/24,March,217,2017,Locality C,217,2017 March,1.94384
Herd_310,7,24_03_2017,17/03/24,March,217,2017,Locality C,217,2017 March,1.94384
Herd_247,3,19_04_2017,17/04/19,April,243,2017,Locality C,243,2017 April,2.015769
Herd_281,4,19_04_2017,17/04/19,April,243,2017,Locality C,243,2017 April,2.015769
Herd_325,3,20_04_2017,17/04/20,April,244,2017,Locality C,244,2017 April,2.015769
Herd_314,1,21_04_2017,17/04/21,April,245,2017,Locality C,245,2017 April,2.015769
Herd_330,2,21_04_2017,17/04/21,April,245,2017,Locality C,245,2017 April,2.015769
Herd_331,6,21_04_2017,17/04/21,April,245,2017,Locality C,245,2017 April,2.015769
Herd_249,3,22_04_2017,17/04/22,April,246,2017,Locality C,246,2017 April,2.015769
Herd_322,6,09_05_2017,17/05/09,May,263,2017,Locality C,263,2017 May,2.009499
Herd_332,1,09_05_2017,17/05/09,May,263,2017,Locality C,263,2017 May,2.009499
Herd_334,3,09_05_2017,17/05/09,May,263,2017,Locality C,263,2017 May,2.009499
Herd_286,12,13_05_2017,17/05/13,May,267,2017,Locality C,267,2017 May,2.009499
Herd_305,4,13_05_2017,17/05/13,May,267,2017,Locality C,267,2017 May,2.009499
Herd_238,2,14_05_2017,17/05/14,May,268,2017,Locality C,268,2017 May,2.009499
Herd_239,8,14_05_2017,17/05/14,May,268,2017,Locality C,268,2017 May,2.009499
Herd_272,2,14_05_2017,17/05/14,May,268,2017,Locality C,268,2017 May,2.009499
Herd_254,3,12_06_2017,17/06/12,June,297,2017,Locality C,297,2017 June,2.080975
Herd_327,1,12_06_2017,17/06/12,June,297,2017,Locality C,297,2017 June,2.080975
Herd_338,11,12_06_2017,17/06/12,June,297,2017,Locality C,297,2017 June,2.080975
Herd_242,1,13_06_2017,17/06/13,June,298,2017,Locality C,298,2017 June,2.080975
Herd_245,5,13_06_2017,17/06/13,June,298,2017,Locality C,298,2017 June,2.080975
Herd_248,3,13_06_2017,17/06/13,June,298,2017,Locality C,298,2017 June,2.080975
Herd_257,3,13_06_2017,17/06/13,June,298,2017,Locality C,298,2017 June,2.080975
Herd_266,2,13_06_2017,17/06/13,June,298,2017,Locality C,298,2017 June,2.080975
Herd_246,6,14_06_2017,17/06/14,June,299,2017,Locality C,299,2017 June,2.080975
Herd_275,17,14_06_2017,17/06/14,June,299,2017,Locality C,299,2017 June,2.080975
Herd_312,2,14_06_2017,17/06/14,June,299,2017,Locality C,299,2017 June,2.080975
Herd_261,1,15_06_2017,17/06/15,June,300,2017,Locality C,300,2017 June,2.080975
Herd_277,1,15_06_2017,17/06/15,June,300,2017,Locality C,300,2017 June,2.080975
Herd_291,5,15_06_2017,17/06/15,June,300,2017,Locality C,300,2017 June,2.080975
Herd_294,15,15_06_2017,17/06/15,June,300,2017,Locality C,300,2017 June,2.080975
Herd_309,1,15_06_2017,17/06/15,June,300,2017,Locality C,300,2017 June,2.080975
Herd_318,2,15_06_2017,17/06/15,June,300,2017,Locality C,300,2017 June,2.080975
Herd_244,1,13_07_2017,17/07/13,July,328,2017,Locality C,328,2017 July,2.106891
Herd_250,6,13_07_2017,17/07/13,July,328,2017,Locality C,328,2017 July,2.106891
Herd_271,10,13_07_2017,17/07/13,July,328,2017,Locality C,328,2017 July,2.106891
Herd_282,3,14_07_2017,17/07/14,July,329,2017,Locality C,329,2017 July,2.106891
Herd_308,1,14_07_2017,17/07/14,July,329,2017,Locality C,329,2017 July,2.106891
Herd_321,6,14_07_2017,17/07/14,July,329,2017,Locality C,329,2017 July,2.106891
Herd_268,1,15_07_2017,17/07/15,July,330,2017,Locality C,330,2017 July,2.106891
Herd_288,3,15_07_2017,17/07/15,July,330,2017,Locality C,330,2017 July,2.106891
Herd_311,1,15_07_2017,17/07/15,July,330,2017,Locality C,330,2017 July,2.106891
Herd_253,1,16_07_2017,17/07/16,July,331,2017,Locality C,331,2017 July,2.106891
Herd_274,12,16_07_2017,17/07/16,July,331,2017,Locality C,331,2017 July,2.106891
Herd_280,3,16_07_2017,17/07/16,July,331,2017,Locality C,331,2017 July,2.106891
Herd_284,1,16_07_2017,17/07/16,July,331,2017,Locality C,331,2017 July,2.106891
Herd_337,1,16_07_2017,17/07/16,July,331,2017,Locality C,331,2017 July,2.106891
Herd_62,65,19_08_2016,16/08/19,August,0,2016,Locality D,0,2016 August,2.9273
Herd_100,21,19_08_2016,16/08/19,August,0,2016,Locality D,0,2016 August,2.9273
Herd_78,40,20_08_2016,16/08/20,August,1,2016,Locality D,1,2016 August,2.9273
Herd_110,25,20_08_2016,16/08/20,August,1,2016,Locality D,1,2016 August,2.9273
Herd_159,33,21_08_2016,16/08/21,August,2,2016,Locality D,2,2016 August,2.9273
Herd_168,1,21_08_2016,16/08/21,August,2,2016,Locality D,2,2016 August,2.9273
Herd_169,37,21_08_2016,16/08/21,August,2,2016,Locality D,2,2016 August,2.9273
Herd_152,17,22_08_2016,16/08/22,August,3,2016,Locality D,3,2016 August,2.9273
Herd_173,21,22_08_2016,16/08/22,August,3,2016,Locality D,3,2016 August,2.9273
Herd_119,2,20_09_2016,16/09/20,September,32,2016,Locality D,32,2016 September,2.944605
Herd_121,100,20_09_2016,16/09/20,September,32,2016,Locality D,32,2016 September,2.944605
Herd_146,2,20_09_2016,16/09/20,September,32,2016,Locality D,32,2016 September,2.944605
Herd_77,96,21_09_2016,16/09/21,September,33,2016,Locality D,33,2016 September,2.944605
Herd_160,1,21_09_2016,16/09/21,September,33,2016,Locality D,33,2016 September,2.944605
Herd_171,2,21_09_2016,16/09/21,September,33,2016,Locality D,33,2016 September,2.944605
Herd_109,103,22_09_2016,16/09/22,September,34,2016,Locality D,34,2016 September,2.944605
Herd_143,54,23_09_2016,16/09/23,September,35,2016,Locality D,35,2016 September,2.944605
Herd_162,8,23_09_2016,16/09/23,September,35,2016,Locality D,35,2016 September,2.944605
Herd_75,1,12_10_2016,16/10/12,October,54,2016,Locality D,54,2016 October,2.954667
Herd_93,33,12_10_2016,16/10/12,October,54,2016,Locality D,54,2016 October,2.954667
Herd_145,93,13_10_2016,16/10/13,October,55,2016,Locality D,55,2016 October,2.954667
Herd_106,88,14_10_2016,16/10/14,October,56,2016,Locality D,56,2016 October,2.954667
Herd_116,2,14_10_2016,16/10/14,October,56,2016,Locality D,56,2016 October,2.954667
Herd_103,45,15_10_2016,16/10/15,October,57,2016,Locality D,57,2016 October,2.954667
Herd_80,10,16_11_2016,16/11/16,November,89,2016,Locality D,89,2016 November,1.98516
Herd_99,2,17_11_2016,16/11/17,November,90,2016,Locality D,90,2016 November,1.98516
Herd_136,6,17_11_2016,16/11/17,November,90,2016,Locality D,90,2016 November,1.98516
Herd_68,1,18_11_2016,16/11/18,November,91,2016,Locality D,91,2016 November,1.98516
Herd_97,10,18_11_2016,16/11/18,November,91,2016,Locality D,91,2016 November,1.98516
Herd_85,22,13_12_2016,16/12/13,December,116,2016,Locality D,116,2016 December,2.951082
Herd_124,33,13_12_2016,16/12/13,December,116,2016,Locality D,116,2016 December,2.951082
Herd_96,21,14_12_2016,16/12/14,December,117,2016,Locality D,117,2016 December,2.951082
Herd_118,40,14_12_2016,16/12/14,December,117,2016,Locality D,117,2016 December,2.951082
Herd_132,5,14_12_2016,16/12/14,December,117,2016,Locality D,117,2016 December,2.951082
Herd_154,15,14_12_2016,16/12/14,December,117,2016,Locality D,117,2016 December,2.951082
Herd_64,30,15_12_2016,16/12/15,December,118,2016,Locality D,118,2016 December,2.951082
Herd_81,25,15_12_2016,16/12/15,December,118,2016,Locality D,118,2016 December,2.951082
Herd_92,24,16_12_2016,16/12/16,December,119,2016,Locality D,119,2016 December,2.951082
Herd_104,15,16_12_2016,16/12/16,December,119,2016,Locality D,119,2016 December,2.951082
Herd_82,21,17_01_2017,17/01/17,January,151,2017,Locality D,151,2017 January,2.871898
Herd_83,14,17_01_2017,17/01/17,January,151,2017,Locality D,151,2017 January,2.871898
Herd_90,7,18_01_2017,17/01/18,January,152,2017,Locality D,152,2017 January,2.871898
Herd_147,14,18_01_2017,17/01/18,January,152,2017,Locality D,152,2017 January,2.871898
Herd_76,3,19_01_2017,17/01/19,January,153,2017,Locality D,153,2017 January,2.871898
Herd_79,10,19_01_2017,17/01/19,January,153,2017,Locality D,153,2017 January,2.871898
Herd_112,14,19_01_2017,17/01/19,January,153,2017,Locality D,153,2017 January,2.871898
Herd_115,5,19_01_2017,17/01/19,January,153,2017,Locality D,153,2017 January,2.871898
Herd_153,33,19_01_2017,17/01/19,January,153,2017,Locality D,153,2017 January,2.871898
Herd_130,2,20_01_2017,17/01/20,January,154,2017,Locality D,154,2017 January,2.871898
Herd_155,3,20_01_2017,17/01/20,January,154,2017,Locality D,154,2017 January,2.871898
Herd_165,34,20_01_2017,17/01/20,January,154,2017,Locality D,154,2017 January,2.871898
Herd_166,23,20_01_2017,17/01/20,January,154,2017,Locality D,154,2017 January,2.871898
Herd_86,9,24_02_2017,17/02/24,February,189,2017,Locality D,189,2017 February,2.0721
Herd_87,8,24_02_2017,17/02/24,February,189,2017,Locality D,189,2017 February,2.0721
Herd_120,1,24_02_2017,17/02/24,February,189,2017,Locality D,189,2017 February,2.0721
Herd_148,1,24_02_2017,17/02/24,February,189,2017,Locality D,189,2017 February,2.0721
Herd_91,15,27_02_2017,17/02/27,February,192,2017,Locality D,192,2017 February,2.0721
Herd_123,6,27_02_2017,17/02/27,February,192,2017,Locality D,192,2017 February,2.0721
Herd_134,0,28_02_2017,17/02/28,February,193,2017,Locality D,193,2017 February,2.0721
Herd_89,20,21_03_2017,17/03/21,March,214,2017,Locality D,214,2017 March,2.890667
Herd_135,4,21_03_2017,17/03/21,March,214,2017,Locality D,214,2017 March,2.890667
Herd_144,19,21_03_2017,17/03/21,March,214,2017,Locality D,214,2017 March,2.890667
Herd_125,17,22_03_2017,17/03/22,March,215,2017,Locality D,215,2017 March,2.890667
Herd_151,16,22_03_2017,17/03/22,March,215,2017,Locality D,215,2017 March,2.890667
Herd_172,11,23_03_2017,17/03/23,March,216,2017,Locality D,216,2017 March,2.890667
Herd_174,8,23_03_2017,17/03/23,March,216,2017,Locality D,216,2017 March,2.890667
Herd_175,3,23_03_2017,17/03/23,March,216,2017,Locality D,216,2017 March,2.890667
Herd_117,30,24_03_2017,17/03/24,March,217,2017,Locality D,217,2017 March,2.890667
Herd_133,5,24_03_2017,17/03/24,March,217,2017,Locality D,217,2017 March,2.890667
Herd_67,3,19_04_2017,17/04/19,April,243,2017,Locality D,243,2017 April,2.850395
Herd_88,3,19_04_2017,17/04/19,April,243,2017,Locality D,243,2017 April,2.850395
Herd_127,20,19_04_2017,17/04/19,April,243,2017,Locality D,243,2017 April,2.850395
Herd_157,9,20_04_2017,17/04/20,April,244,2017,Locality D,244,2017 April,2.850395
Herd_158,6,20_04_2017,17/04/20,April,244,2017,Locality D,244,2017 April,2.850395
Herd_163,15,20_04_2017,17/04/20,April,244,2017,Locality D,244,2017 April,2.850395
Herd_156,1,21_04_2017,17/04/21,April,245,2017,Locality D,245,2017 April,2.850395
Herd_161,7,21_04_2017,17/04/21,April,245,2017,Locality D,245,2017 April,2.850395
Herd_164,13,21_04_2017,17/04/21,April,245,2017,Locality D,245,2017 April,2.850395
Herd_170,24,21_04_2017,17/04/21,April,245,2017,Locality D,245,2017 April,2.850395
Herd_69,6,22_04_2017,17/04/22,April,246,2017,Locality D,246,2017 April,2.850395
Herd_101,3,22_04_2017,17/04/22,April,246,2017,Locality D,246,2017 April,2.850395
Herd_137,14,22_04_2017,17/04/22,April,246,2017,Locality D,246,2017 April,2.850395
Herd_138,1,22_04_2017,17/04/22,April,246,2017,Locality D,246,2017 April,2.850395
Herd_140,16,22_04_2017,17/04/22,April,246,2017,Locality D,246,2017 April,2.850395
Herd_131,31,09_05_2017,17/05/09,May,263,2017,Locality D,263,2017 May,2.938485
Herd_141,25,09_05_2017,17/05/09,May,263,2017,Locality D,263,2017 May,2.938485
Herd_129,30,13_05_2017,17/05/13,May,267,2017,Locality D,267,2017 May,2.938485
Herd_167,38,13_05_2017,17/05/13,May,267,2017,Locality D,267,2017 May,2.938485
Herd_73,38,14_05_2017,17/05/14,May,268,2017,Locality D,268,2017 May,2.938485
Herd_102,26,14_05_2017,17/05/14,May,268,2017,Locality D,268,2017 May,2.938485
