time_hr,activity_index
56,26.5057698
57,14.47202304
58,24.47507697
59,13.36864154
60,8.809662119
61,16.7849623
62,20.04252932
63,18.97923564
64,41.4769108
65,38.87678784
66,43.40712748
67,60.14913404
68,71.50837604
69,90.21295877
70,85.44746026
71,91.0655621
72,89.61006277
73,86.81127816
74,84.16667378
75,81.79372116
76,79.84576579
77,64.89168096
78,55.41365747
79,32.87961309
80,34.36612452
81,22.35949937
82,7.698431513
83,13.80106266
84,9.211906252
85,18.86804778
86,11.87876511
87,20.06260552
88,25.98408538
89,39.4531762
90,52.73222358
91,57.39760315
92,74.78776905
93,72.76660204
94,79.77206356
95,96.03309769
96,84.9133449
97,90.4881459
98,82.33576688
99,79.76399646
100,77.7454476
0,97.93294217
1,86.98041638
2,73.2068112
3,90.75555157
4,73.30752676
5,63.02063798
6,49.88485547
7,42.14353311
8,29.12255134
9,23.76818057
10,13.31769742
11,4.48917586
12,14.93930724
13,18.98882301
14,13.87158897
15,15.53452045
16,33.32249993
17,39.55552049
18,41.47834844
19,60.51061569
20,66.98732519
21,76.69833457
22,78.94608604
23,97.70009961
24,88.34387619
25,80.55705803
26,85.52219426
27,79.44653273
28,64.87596851
29,45.68320377
30,46.5568583
31,42.25969526
32,29.47941612
33,21.0382086
34,18.02747806
35,5.358935599
36,15.48492837
37,11.41415541
38,19.04900754
39,27.10842347
40,31.39601943
41,35.57184021
42,56.15184729
43,50.68484335
44,67.58103725
45,77.26009935
46,83.99349659
47,93.83524756
48,90.67925498
49,90.56923837
50,84.09039059
51,76.75509157
52,73.11530302
53,65.67251996
54,37.55120505
55,42.08526649
56,31.48572531
57,19.26781867
58,19.8836879
59,9.296953743
60,8.581244314
61,15.77959595
62,24.20855256
63,23.42572539
64,28.33547843
65,34.20635652
66,48.87443584
67,56.17198541
68,69.17602143
69,80.64496261
70,80.65916296
71,102.0264025
72,90.77588582
73,94.1323187
74,72.89468402
75,81.56052892
76,62.88831494
77,64.35373716
78,51.36476625
79,36.9985873
80,36.06793982
81,17.75371701
82,12.13161014
83,6.190588038
84,6.664786242
85,16.27103599
86,17.87768585
87,27.23946038
88,28.66403955
89,42.22054746
90,51.94298931
91,53.92505731
92,79.52804964
93,79.47925427
94,88.83998062
95,93.60299254
96,89.73975372
97,86.89919524
98,88.70951565
99,72.48049652
100,79.1577681
0,88.08183947
1,96.9056819
2,92.19405235
3,78.68207228
4,72.8083005
5,55.1912589
6,51.5668856
7,44.81105329
8,30.43982293
9,19.39402281
10,12.04002188
11,11.16060314
12,15.34592321
13,8.970223234
14,14.81024126
15,15.33026921
16,32.58285758
17,46.31857377
18,57.62964552
19,64.57347004
20,60.78988291
21,80.81332499
22,87.00962587
23,86.91738865
24,90.85198373
25,84.26444532
26,87.93238093
27,76.49514942
28,61.95969108
29,58.29055334
30,56.58144146
31,37.73575025
32,33.44178271
33,26.26203052
34,15.24536794
35,9.529617264
36,7.352565607
37,15.13882168
38,10.19516713
39,23.16893902
40,28.83112052
41,28.64093149
42,43.29277223
43,65.26576471
44,69.3485962
45,82.55486898
46,94.26147409
47,96.10233392
48,93.38448797
49,90.43321379
50,83.47467253
51,85.88287225
52,72.61871953
53,54.07349347
54,48.78847345
55,29.62701961
56,28.63580905
57,8.432518927
58,21.69863469
59,8.065424646
60,7.85300343
61,10.6459554
62,18.67150693
63,25.46715177
64,33.28615834
65,37.28920997
66,43.71314445
67,58.92752083
68,71.86025501
69,74.55766116
70,84.57424375
71,82.94225644
72,89.95428237
73,89.12555938
74,83.61092578
75,77.03596835
76,78.28730076
77,63.56765133
78,54.93127088
79,34.42019543
80,30.26835586
81,27.03400129
82,14.75207454
83,0.549145702
84,11.72990809
85,2.02033399
86,11.65332434
87,28.83368589
88,33.69281712
89,45.79704078
90,52.25518899
91,60.50555021
92,66.01433934
93,86.77158474
94,85.23703861
95,85.25166715
96,94.31869772
97,93.80047713
98,93.71942101
99,74.70200074
100,67.34674207
0,87.91888984
1,86.75666827
2,82.79983415
3,76.78885635
4,77.18129797
5,56.82630984
6,48.01101555
7,42.85567326
8,35.56829273
9,17.80415334
10,12.77850006
11,13.9583182
12,15.08888704
13,10.13427495
14,8.265324579
15,30.34657439
16,37.28664127
17,36.22721044
18,49.8191026
19,51.70261271
20,72.98744172
21,86.46491146
22,76.54254462
23,84.78654751
24,86.79365171
25,85.17896812
26,74.36979908
27,80.63547229
28,62.14611131
29,60.00281893
30,52.72419042
31,38.41617997
32,34.23807446
33,21.40052697
34,11.98507216
35,14.52302587
36,7.831879452
37,20.30393147
38,15.42115565
39,26.20195977
40,31.30443187
41,24.92513528
42,43.50646485
43,58.56515677
44,71.48900927
45,66.82483729
46,89.63258494
47,85.71079934
48,86.23375912
49,80.75534239
50,77.16919597
51,78.27507245
52,72.18439602
53,49.45196337
54,44.54487622
55,41.90042732
56,27.34691785
57,32.22099979
58,21.35735722
59,14.22062982
60,10.02731987
61,12.88935097
62,12.08088543
63,25.21553665
64,37.84746828
65,45.56907254
66,46.46337945
67,52.7767478
68,69.92240585
69,80.87751362
70,91.67341832
71,82.18752065
72,91.81775041
73,89.64878154
74,90.31008023
75,77.71597327
76,67.68304647
77,54.02064809
78,46.78701306
79,37.22561134
80,41.1994183
81,33.49253223
82,14.20116526
83,5.977611748
84,0.141004606
85,14.11846939
86,10.25630719
87,33.63696092
88,26.18654501
89,40.89422815
90,69.77354809
91,55.51179403
92,72.17373633
93,73.27254361
94,86.75025387
95,84.46098648
96,90.37909784
97,86.94392913
98,78.32493594
99,77.7734507
100,74.25908635
