"Locality","Depth","rep","Alga_length"
"A",14,"A_depth_14_rep_4",130.07
"A",14,"A_depth_14_rep_5",132.95
"A",14,"A_depth_14_rep_6",127.82
"A",14,"A_depth_14_rep_7",123.84
"A",14,"A_depth_14_rep_8",132.22
"A",14,"A_depth_14_rep_9",105.28
"A",15,"A_depth_15_rep_1",144.25
"A",15,"A_depth_15_rep_10",121.93
"A",15,"A_depth_15_rep_2",126.99
"A",15,"A_depth_15_rep_3",143.19
"A",15,"A_depth_15_rep_4",127.66
"A",15,"A_depth_15_rep_5",132.48
"A",15,"A_depth_15_rep_6",136.05
"A",15,"A_depth_15_rep_7",131.17
"A",15,"A_depth_15_rep_8",152.17
"A",15,"A_depth_15_rep_9",102.97
"B",1,"B_depth_1_rep_1",110.91
"B",1,"B_depth_1_rep_10",109.15
"B",1,"B_depth_1_rep_2",148.9
"B",1,"B_depth_1_rep_3",117.56
"B",1,"B_depth_1_rep_4",118.06
"B",1,"B_depth_1_rep_5",120.58
"B",1,"B_depth_1_rep_6",103.89
"B",1,"B_depth_1_rep_7",105.39
"B",1,"B_depth_1_rep_8",136.13
"B",1,"B_depth_1_rep_9",119.01
"B",2,"B_depth_2_rep_1",112.75
"B",2,"B_depth_2_rep_10",121.42
"B",2,"B_depth_2_rep_2",117.49
"B",2,"B_depth_2_rep_3",132.77
"B",2,"B_depth_2_rep_4",119.56
"B",2,"B_depth_2_rep_5",131.08
"B",2,"B_depth_2_rep_6",119.02
"B",2,"B_depth_2_rep_7",112.82
"B",2,"B_depth_2_rep_8",122.27
"B",2,"B_depth_2_rep_9",126.21
"B",3,"B_depth_3_rep_1",123.88
"B",3,"B_depth_3_rep_10",109.5
"B",3,"B_depth_3_rep_2",116.82
"B",3,"B_depth_3_rep_3",126.31
"B",3,"B_depth_3_rep_4",127.1
"B",3,"B_depth_3_rep_5",120.31
"B",3,"B_depth_3_rep_6",141.99
"B",3,"B_depth_3_rep_7",143.85
"B",3,"B_depth_3_rep_8",122.17
"B",3,"B_depth_3_rep_9",126.59
"B",4,"B_depth_4_rep_1",127.03
"B",4,"B_depth_4_rep_10",134.85
"B",4,"B_depth_4_rep_2",147.18
"B",4,"B_depth_4_rep_3",120.61
"B",4,"B_depth_4_rep_4",121.92
"B",4,"B_depth_4_rep_5",130.44
"B",4,"B_depth_4_rep_6",124.91
"B",4,"B_depth_4_rep_7",130.22
"B",4,"B_depth_4_rep_8",136.15
"B",4,"B_depth_4_rep_9",128.81
"B",5,"B_depth_5_rep_1",123.73
"B",5,"B_depth_5_rep_10",123.68
"B",5,"B_depth_5_rep_2",109.25
"B",5,"B_depth_5_rep_3",132.21
"B",5,"B_depth_5_rep_4",110.48
"B",5,"B_depth_5_rep_5",139.94
"B",5,"B_depth_5_rep_6",139.78
"B",5,"B_depth_5_rep_7",139.78
"B",5,"B_depth_5_rep_8",119.77
"B",5,"B_depth_5_rep_9",123.82
"B",6,"B_depth_6_rep_1",133.73
"B",6,"B_depth_6_rep_10",134.98
"B",6,"B_depth_6_rep_2",134.95
"B",6,"B_depth_6_rep_3",120.73
"B",6,"B_depth_6_rep_4",136.67
"B",6,"B_depth_6_rep_5",127.72
"B",6,"B_depth_6_rep_6",129.51
"B",6,"B_depth_6_rep_7",116.55
"B",6,"B_depth_6_rep_8",131.87
"B",6,"B_depth_6_rep_9",129.61
"B",7,"B_depth_7_rep_1",139.62
"B",7,"B_depth_7_rep_10",146.23
"B",7,"B_depth_7_rep_2",141.57
"B",7,"B_depth_7_rep_3",124.61
"B",7,"B_depth_7_rep_4",125.98
"B",7,"B_depth_7_rep_5",127.6
"B",7,"B_depth_7_rep_6",151.89
"B",7,"B_depth_7_rep_7",132.89
"B",7,"B_depth_7_rep_8",128.15
"B",7,"B_depth_7_rep_9",141.96
"B",8,"B_depth_8_rep_1",123.34
"B",8,"B_depth_8_rep_10",147.3
"B",8,"B_depth_8_rep_2",127.94
"B",8,"B_depth_8_rep_3",149.58
"B",8,"B_depth_8_rep_4",144.23
"B",8,"B_depth_8_rep_5",138.71
"B",8,"B_depth_8_rep_6",148.12
"B",8,"B_depth_8_rep_7",132.69
"B",8,"B_depth_8_rep_8",135.49
"B",8,"B_depth_8_rep_9",125.08
"B",9,"B_depth_9_rep_1",169.17
"B",9,"B_depth_9_rep_10",140
"B",9,"B_depth_9_rep_2",136.99
"B",9,"B_depth_9_rep_3",154.97
"B",9,"B_depth_9_rep_4",154.75
"B",9,"B_depth_9_rep_5",147.07
"B",9,"B_depth_9_rep_6",149.32
"B",9,"B_depth_9_rep_7",146.11
"B",9,"B_depth_9_rep_8",141.95
"B",9,"B_depth_9_rep_9",155.76
"B",10,"B_depth_10_rep_1",156.34
"B",10,"B_depth_10_rep_10",146.56
"B",10,"B_depth_10_rep_2",150.66
"B",10,"B_depth_10_rep_3",155.22
"B",10,"B_depth_10_rep_4",119.66
"B",10,"B_depth_10_rep_5",145.7
"B",10,"B_depth_10_rep_6",136.21
"B",10,"B_depth_10_rep_7",152.36
"B",10,"B_depth_10_rep_8",140.51
"B",10,"B_depth_10_rep_9",146.25
"B",11,"B_depth_11_rep_1",144.79
"B",11,"B_depth_11_rep_10",147.46
"B",11,"B_depth_11_rep_2",156.83
"B",11,"B_depth_11_rep_3",154.71
"B",11,"B_depth_11_rep_4",157.81
"B",11,"B_depth_11_rep_5",147.34
"B",11,"B_depth_11_rep_6",118.76
"B",11,"B_depth_11_rep_7",151.89
"B",11,"B_depth_11_rep_8",145.33
"B",11,"B_depth_11_rep_9",152.71
"B",12,"B_depth_12_rep_1",158.73
"B",12,"B_depth_12_rep_10",166.09
"B",12,"B_depth_12_rep_2",154.68
"B",12,"B_depth_12_rep_3",169.91
"B",12,"B_depth_12_rep_4",161.8
"B",12,"B_depth_12_rep_5",157.33
"B",12,"B_depth_12_rep_6",158.27
"B",12,"B_depth_12_rep_7",139.99
"B",12,"B_depth_12_rep_8",160.13
"B",12,"B_depth_12_rep_9",165.61
"B",13,"B_depth_13_rep_1",152.35
"B",13,"B_depth_13_rep_10",141.92
"B",13,"B_depth_13_rep_2",155.62
"B",13,"B_depth_13_rep_3",164.71
"B",13,"B_depth_13_rep_4",140.17
"B",13,"B_depth_13_rep_5",148.91
"B",13,"B_depth_13_rep_6",155.95
"B",13,"B_depth_13_rep_7",141.38
"B",13,"B_depth_13_rep_8",137.77
"B",13,"B_depth_13_rep_9",141.55
"B",14,"B_depth_14_rep_1",171.57
"B",14,"B_depth_14_rep_10",158.89
"B",14,"B_depth_14_rep_2",175.74
"B",14,"B_depth_14_rep_3",164.27
"B",14,"B_depth_14_rep_4",171.99
"B",14,"B_depth_14_rep_5",184.15
"B",14,"B_depth_14_rep_6",154.37
"B",14,"B_depth_14_rep_7",144.96
"B",14,"B_depth_14_rep_8",158.69
"B",14,"B_depth_14_rep_9",161.38
"B",15,"B_depth_15_rep_1",164.48
"B",15,"B_depth_15_rep_10",174.76
"B",15,"B_depth_15_rep_2",169.5
"B",15,"B_depth_15_rep_3",158.26
"B",15,"B_depth_15_rep_4",152.14
"B",15,"B_depth_15_rep_5",150
"B",15,"B_depth_15_rep_6",144.59
"B",15,"B_depth_15_rep_7",157.01
"B",15,"B_depth_15_rep_8",155.78
"B",15,"B_depth_15_rep_9",179.82
"C",1,"C_depth_1_rep_1",137.1
"C",1,"C_depth_1_rep_10",116
"C",1,"C_depth_1_rep_2",120.4
"C",1,"C_depth_1_rep_3",134.06
"C",1,"C_depth_1_rep_4",144.88
"C",1,"C_depth_1_rep_5",128.24
"C",1,"C_depth_1_rep_6",146.49
"C",1,"C_depth_1_rep_7",137.68
"C",1,"C_depth_1_rep_8",131.57
"C",1,"C_depth_1_rep_9",131.03
"C",2,"C_depth_2_rep_1",160.22
"C",2,"C_depth_2_rep_10",129.97
"C",2,"C_depth_2_rep_2",138
"C",2,"C_depth_2_rep_3",131.67
"C",2,"C_depth_2_rep_4",129.94
"C",2,"C_depth_2_rep_5",142.8
"C",2,"C_depth_2_rep_6",133.27
"C",2,"C_depth_2_rep_7",143.56
"C",2,"C_depth_2_rep_8",135.9
"C",2,"C_depth_2_rep_9",142.72
"C",3,"C_depth_3_rep_1",153.68
"C",3,"C_depth_3_rep_10",127.1
"C",3,"C_depth_3_rep_2",144.04
"C",3,"C_depth_3_rep_3",123.76
"C",3,"C_depth_3_rep_4",135.91
"C",3,"C_depth_3_rep_5",148.35
"C",3,"C_depth_3_rep_6",145.99
"C",3,"C_depth_3_rep_7",145.9
"C",3,"C_depth_3_rep_8",122.27
"C",3,"C_depth_3_rep_9",146.59
"C",4,"C_depth_4_rep_1",149.49
"C",4,"C_depth_4_rep_10",141.16
"C",4,"C_depth_4_rep_2",120.51
"C",4,"C_depth_4_rep_3",134.6
"C",4,"C_depth_4_rep_4",162.17
"C",4,"C_depth_4_rep_5",151.72
"C",4,"C_depth_4_rep_6",128.81
"C",4,"C_depth_4_rep_7",140.2
"C",4,"C_depth_4_rep_8",167.86
"C",4,"C_depth_4_rep_9",142.84
"C",5,"C_depth_5_rep_1",153.83
"C",5,"C_depth_5_rep_10",152.77
"C",5,"C_depth_5_rep_2",142.2
"C",5,"C_depth_5_rep_3",130.23
"C",5,"C_depth_5_rep_4",148.57
"C",5,"C_depth_5_rep_5",169.4
"C",5,"C_depth_5_rep_6",128.21
"C",5,"C_depth_5_rep_7",139.77
"C",5,"C_depth_5_rep_8",128.54
"C",5,"C_depth_5_rep_9",153.36
"C",6,"C_depth_6_rep_1",142.44
"C",6,"C_depth_6_rep_10",161.73
"C",6,"C_depth_6_rep_2",145.62
"C",6,"C_depth_6_rep_3",163.74
"C",6,"C_depth_6_rep_4",149.57
"C",6,"C_depth_6_rep_5",157.53
"C",6,"C_depth_6_rep_6",134.05
"C",6,"C_depth_6_rep_7",143.72
"C",6,"C_depth_6_rep_8",155.79
"C",6,"C_depth_6_rep_9",160.79
"C",7,"C_depth_7_rep_1",140.82
"C",7,"C_depth_7_rep_10",150.41
"C",7,"C_depth_7_rep_2",160.57
"C",7,"C_depth_7_rep_3",157.71
"C",7,"C_depth_7_rep_4",162.69
"C",7,"C_depth_7_rep_5",158.68
"C",7,"C_depth_7_rep_6",157.13
"C",7,"C_depth_7_rep_7",156.22
"C",7,"C_depth_7_rep_8",167.1
"C",7,"C_depth_7_rep_9",136.3
"C",8,"C_depth_8_rep_1",149.27
"C",8,"C_depth_8_rep_10",153.35
"C",8,"C_depth_8_rep_2",148.78
"C",8,"C_depth_8_rep_3",153.97
"C",8,"C_depth_8_rep_4",153.93
"C",8,"C_depth_8_rep_5",147.96
"C",8,"C_depth_8_rep_6",158.5
"C",8,"C_depth_8_rep_7",162.89
"C",8,"C_depth_8_rep_8",144.1
"C",8,"C_depth_8_rep_9",156.45
"C",9,"C_depth_9_rep_1",144.31
"C",9,"C_depth_9_rep_10",149.43
"C",9,"C_depth_9_rep_2",161.98
"C",9,"C_depth_9_rep_3",167.98
"C",9,"C_depth_9_rep_4",165.42
"C",9,"C_depth_9_rep_5",161.86
"C",9,"C_depth_9_rep_6",163.04
"C",9,"C_depth_9_rep_7",162.22
"C",9,"C_depth_9_rep_8",147.05
"C",9,"C_depth_9_rep_9",155.01
"C",10,"C_depth_10_rep_1",164.67
"C",10,"C_depth_10_rep_10",154.23
"C",10,"C_depth_10_rep_2",161.28
"C",10,"C_depth_10_rep_3",138.55
"C",10,"C_depth_10_rep_4",161.43
"C",10,"C_depth_10_rep_5",156.13
"C",10,"C_depth_10_rep_6",160.98
"C",10,"C_depth_10_rep_7",160.89
"C",10,"C_depth_10_rep_8",160.26
"C",10,"C_depth_10_rep_9",154.34
"C",11,"C_depth_11_rep_1",166.71
"C",11,"C_depth_11_rep_10",166.48
"C",11,"C_depth_11_rep_2",188.93
"C",11,"C_depth_11_rep_3",167.09
"C",11,"C_depth_11_rep_4",176.46
"C",11,"C_depth_11_rep_5",190.14
"C",11,"C_depth_11_rep_6",140.51
"C",11,"C_depth_11_rep_7",167.19
"C",11,"C_depth_11_rep_8",147.39
"C",11,"C_depth_11_rep_9",173.45
"C",12,"C_depth_12_rep_1",161.16
"C",12,"C_depth_12_rep_10",184.89
"C",12,"C_depth_12_rep_2",188.48
"C",12,"C_depth_12_rep_3",188.26
"C",12,"C_depth_12_rep_4",176.23
"C",12,"C_depth_12_rep_5",159.42
"C",12,"C_depth_12_rep_6",163.3
"C",12,"C_depth_12_rep_7",167.88
"C",12,"C_depth_12_rep_8",170.18
"C",12,"C_depth_12_rep_9",172.92
"C",13,"C_depth_13_rep_1",162.65
"C",13,"C_depth_13_rep_10",171.99
"C",13,"C_depth_13_rep_2",153.86
"C",13,"C_depth_13_rep_3",167.34
"C",13,"C_depth_13_rep_4",169.94
"C",13,"C_depth_13_rep_5",174.14
"C",13,"C_depth_13_rep_6",159.82
"C",13,"C_depth_13_rep_7",164.06
"C",13,"C_depth_13_rep_8",177.68
"C",13,"C_depth_13_rep_9",159.66
"C",14,"C_depth_14_rep_1",171.62
"C",14,"C_depth_14_rep_10",174.3
"C",14,"C_depth_14_rep_2",157.78
"C",14,"C_depth_14_rep_3",172.99
"C",14,"C_depth_14_rep_4",180.89
"C",14,"C_depth_14_rep_5",186.01
"C",14,"C_depth_14_rep_6",166.72
"C",14,"C_depth_14_rep_7",186.82
"C",14,"C_depth_14_rep_8",176.68
"C",14,"C_depth_14_rep_9",164.17
"C",15,"C_depth_15_rep_1",169.76
"C",15,"C_depth_15_rep_10",187.42
"C",15,"C_depth_15_rep_2",192.19
"C",15,"C_depth_15_rep_3",169.98
"C",15,"C_depth_15_rep_4",164.39
"C",15,"C_depth_15_rep_5",165.55
"C",15,"C_depth_15_rep_6",189.66
"C",15,"C_depth_15_rep_7",192.81
"C",15,"C_depth_15_rep_8",180.09
"C",15,"C_depth_15_rep_9",178.46
"D",1,"D_depth_1_rep_1",114.2
"D",1,"D_depth_1_rep_10",108.08
"D",1,"D_depth_1_rep_2",122.61
"D",1,"D_depth_1_rep_3",117.41
"D",1,"D_depth_1_rep_4",119.82
"D",1,"D_depth_1_rep_5",140.7
"D",1,"D_depth_1_rep_6",142.29
"D",1,"D_depth_1_rep_7",123.48
"D",1,"D_depth_1_rep_8",119.82
"D",1,"D_depth_1_rep_9",118.04
"D",2,"D_depth_2_rep_1",125.67
"D",2,"D_depth_2_rep_10",119.43
"D",2,"D_depth_2_rep_2",115.68
"D",2,"D_depth_2_rep_3",111.08
"D",2,"D_depth_2_rep_4",113.4
"D",2,"D_depth_2_rep_5",111.45
"D",2,"D_depth_2_rep_6",117.02
"D",2,"D_depth_2_rep_7",117.92
"D",2,"D_depth_2_rep_8",103.32
"D",2,"D_depth_2_rep_9",118.13
"D",3,"D_depth_3_rep_1",127.11
"D",3,"D_depth_3_rep_10",130.02
"D",3,"D_depth_3_rep_2",116.68
"D",3,"D_depth_3_rep_3",126.07
"D",3,"D_depth_3_rep_4",130.97
"D",3,"D_depth_3_rep_5",124.73
"D",3,"D_depth_3_rep_6",108.59
"D",3,"D_depth_3_rep_7",134.45
"D",3,"D_depth_3_rep_8",118.68
"D",3,"D_depth_3_rep_9",140.98
"D",4,"D_depth_4_rep_1",122.72
"D",4,"D_depth_4_rep_10",132.94
"D",4,"D_depth_4_rep_2",124.35
"D",4,"D_depth_4_rep_3",121.29
"D",4,"D_depth_4_rep_4",127.8
"D",4,"D_depth_4_rep_5",128.81
"D",4,"D_depth_4_rep_6",130.03
"D",4,"D_depth_4_rep_7",130.51
"D",4,"D_depth_4_rep_8",128.83
"D",4,"D_depth_4_rep_9",124.64
"D",5,"D_depth_5_rep_1",138.67
"D",5,"D_depth_5_rep_10",125.84
"D",5,"D_depth_5_rep_2",132.7
"D",5,"D_depth_5_rep_3",148.22
"D",5,"D_depth_5_rep_4",118.21
"D",5,"D_depth_5_rep_5",122.17
"D",5,"D_depth_5_rep_6",115.92
"D",5,"D_depth_5_rep_7",150.42
"D",5,"D_depth_5_rep_8",120.14
"D",5,"D_depth_5_rep_9",141.1
"D",6,"D_depth_6_rep_1",135.02
"D",6,"D_depth_6_rep_10",144.54
"D",6,"D_depth_6_rep_2",132.66
"D",6,"D_depth_6_rep_3",137.33
"D",6,"D_depth_6_rep_4",121.96
"D",6,"D_depth_6_rep_5",121.61
"D",6,"D_depth_6_rep_6",139.61
"D",6,"D_depth_6_rep_7",131.36
"D",6,"D_depth_6_rep_8",131.57
"D",6,"D_depth_6_rep_9",127.62
"D",7,"D_depth_7_rep_1",127.28
"D",7,"D_depth_7_rep_10",114.19
"D",7,"D_depth_7_rep_2",124.38
"D",7,"D_depth_7_rep_3",130.64
"D",7,"D_depth_7_rep_4",125.09
"D",7,"D_depth_7_rep_5",132.35
"D",7,"D_depth_7_rep_6",124.36
"D",7,"D_depth_7_rep_7",138.14
"D",7,"D_depth_7_rep_8",129.67
"D",7,"D_depth_7_rep_9",116.91
"D",8,"D_depth_8_rep_1",146.95
"D",8,"D_depth_8_rep_10",134.18
"D",8,"D_depth_8_rep_2",121.32
"D",8,"D_depth_8_rep_3",120.55
"D",8,"D_depth_8_rep_4",130.89
"D",8,"D_depth_8_rep_5",117.44
"D",8,"D_depth_8_rep_6",150.91
"D",8,"D_depth_8_rep_7",133.35
"D",8,"D_depth_8_rep_8",132.68
"D",8,"D_depth_8_rep_9",143.09
"D",9,"D_depth_9_rep_1",141.96
"D",9,"D_depth_9_rep_10",139.27
"D",9,"D_depth_9_rep_2",118.68
"D",9,"D_depth_9_rep_3",137.43
"D",9,"D_depth_9_rep_4",153.11
"D",9,"D_depth_9_rep_5",133.72
"D",9,"D_depth_9_rep_6",142.76
"D",9,"D_depth_9_rep_7",152.54
"D",9,"D_depth_9_rep_8",143.7
"D",9,"D_depth_9_rep_9",123.89
"D",10,"D_depth_10_rep_1",129.06
"D",10,"D_depth_10_rep_10",152.84
"D",10,"D_depth_10_rep_2",139.96
"D",10,"D_depth_10_rep_3",147.16
"D",10,"D_depth_10_rep_4",148.75
"D",10,"D_depth_10_rep_5",137.07
"D",10,"D_depth_10_rep_6",140.01
"D",10,"D_depth_10_rep_7",158.61
"D",10,"D_depth_10_rep_8",124.95
"D",10,"D_depth_10_rep_9",130.43
"D",11,"D_depth_11_rep_1",151.95
"D",11,"D_depth_11_rep_10",125.24
"D",11,"D_depth_11_rep_2",142.71
"D",11,"D_depth_11_rep_3",135.32
"D",11,"D_depth_11_rep_4",143.2
"D",11,"D_depth_11_rep_5",156.66
"D",11,"D_depth_11_rep_6",154.13
"D",11,"D_depth_11_rep_7",151.87
"D",11,"D_depth_11_rep_8",144.62
"D",11,"D_depth_11_rep_9",146.08
"D",12,"D_depth_12_rep_1",142.94
"D",12,"D_depth_12_rep_10",146.63
"D",12,"D_depth_12_rep_2",129.45
"D",12,"D_depth_12_rep_3",163.47
"D",12,"D_depth_12_rep_4",116.75
"D",12,"D_depth_12_rep_5",142.18
"D",12,"D_depth_12_rep_6",161.79
"D",12,"D_depth_12_rep_7",134.45
"D",12,"D_depth_12_rep_8",147.21
"D",12,"D_depth_12_rep_9",142.82
"D",13,"D_depth_13_rep_1",159.57
"D",13,"D_depth_13_rep_10",155.29
"D",13,"D_depth_13_rep_2",147.35
"D",13,"D_depth_13_rep_3",141.01
"D",13,"D_depth_13_rep_4",153.42
"D",13,"D_depth_13_rep_5",156.1
"D",13,"D_depth_13_rep_6",130.57
"D",13,"D_depth_13_rep_7",133.89
"D",13,"D_depth_13_rep_8",144.99
"D",13,"D_depth_13_rep_9",137.72
"D",14,"D_depth_14_rep_1",160.33
"D",14,"D_depth_14_rep_10",165.67
"D",14,"D_depth_14_rep_2",157.12
"D",14,"D_depth_14_rep_3",157.59
"D",14,"D_depth_14_rep_4",153.17
"D",14,"D_depth_14_rep_5",155.77
"D",14,"D_depth_14_rep_6",142.41
"D",14,"D_depth_14_rep_7",146.99
"D",14,"D_depth_14_rep_8",177.65
"D",14,"D_depth_14_rep_9",161.64
"D",15,"D_depth_15_rep_1",147.63
"D",15,"D_depth_15_rep_10",158.69
"D",15,"D_depth_15_rep_2",172.43
"D",15,"D_depth_15_rep_3",163.73
"D",15,"D_depth_15_rep_4",155.04
"D",15,"D_depth_15_rep_5",154.69
"D",15,"D_depth_15_rep_6",141.04
"D",15,"D_depth_15_rep_7",155.95
"D",15,"D_depth_15_rep_8",157.85
"D",15,"D_depth_15_rep_9",158.81
"E",1,"E_depth_1_rep_1",94.55
"E",1,"E_depth_1_rep_10",87.83
"E",1,"E_depth_1_rep_2",96.5
"E",1,"E_depth_1_rep_3",90.42
"E",1,"E_depth_1_rep_4",108.3
"E",1,"E_depth_1_rep_5",74.16
"E",1,"E_depth_1_rep_6",98.03
"E",1,"E_depth_1_rep_7",85.02
"E",1,"E_depth_1_rep_8",89.17
"E",1,"E_depth_1_rep_9",94.95
"E",2,"E_depth_2_rep_1",114.12
"E",2,"E_depth_2_rep_10",95.59
"E",2,"E_depth_2_rep_2",84.1
"E",2,"E_depth_2_rep_3",112.86
"E",2,"E_depth_2_rep_4",96.01
"E",2,"E_depth_2_rep_5",88.42
"E",2,"E_depth_2_rep_6",88.19
"E",2,"E_depth_2_rep_7",92.4
"E",2,"E_depth_2_rep_8",105.07
"E",2,"E_depth_2_rep_9",101.02
"E",3,"E_depth_3_rep_1",101.33
"E",3,"E_depth_3_rep_10",86.36
"E",3,"E_depth_3_rep_2",104.41
"E",3,"E_depth_3_rep_3",105.95
"E",3,"E_depth_3_rep_4",89.97
"E",3,"E_depth_3_rep_5",104.45
"E",3,"E_depth_3_rep_6",91.04
"E",3,"E_depth_3_rep_7",83.95
"E",3,"E_depth_3_rep_8",114.98
"E",3,"E_depth_3_rep_9",117.99
"E",4,"E_depth_4_rep_1",102.31
"E",4,"E_depth_4_rep_10",99.31
"E",4,"E_depth_4_rep_2",104.32
"E",4,"E_depth_4_rep_3",85.64
"E",4,"E_depth_4_rep_4",107.5
