"Species","Depth","Alga_length"
"E",5,117.62
"E",6,115.69
"E",7,103.65
"E",8,139.04
"E",9,130.48
"E",10,140.02
"E",11,138.49
"E",12,136.87
"E",13,160.46
"E",14,157.23
"E",15,138.14
"E",1,91.09
"E",2,118.72
"E",3,100.75
"E",4,113.36
"E",5,102.86
"E",6,127.14
"E",7,129.83
"E",8,124.99
"E",9,146.42
"E",10,129.85
"E",11,135.59
"E",12,152.81
"E",13,150.13
"E",14,157.58
"E",15,167.19
"E",1,104.78
"E",2,112.35
"E",3,103.34
"E",4,117.75
"E",5,113.79
"E",6,132.89
"E",7,123.56
"E",8,127.92
"E",9,131.2
"E",10,114.95
"E",11,128.74
"E",12,161.24
"E",13,152.56
"E",14,149.64
"E",15,151.31
"E",1,100.81
"E",2,110.29
"E",3,117.23
"E",4,103.62
"E",5,115.43
"E",6,108.14
"E",7,119.83
"E",8,132.6
"E",9,117.09
"E",10,144.8
"E",11,149.96
"E",12,141.95
"E",13,148.28
"E",14,162.37
"E",15,147.16
"E",1,93.24
"E",2,94.74
"E",3,100.07
"E",4,106.26
"E",5,120.45
"E",6,111.2
"E",7,121.34
"E",8,129.14
"E",9,118.64
"E",10,148.7
"E",11,151.38
"E",12,124.41
"E",13,140.92
"E",14,145.61
"E",15,154.51
"E",1,90.93
"E",2,102.32
"E",3,117.26
"E",4,122.89
"E",5,119.05
"E",6,123.71
"E",7,117.7
"E",8,123.3
"E",9,142.59
"E",10,135.47
"E",11,131.77
"E",12,158.02
"E",13,139.94
"E",14,160.3
"E",15,158.54
"E",1,106.1
"E",2,102.96
"E",3,118.27
"E",4,97.16
"E",5,107.15
"E",6,118.03
"E",7,125.55
"E",8,128.62
"E",9,128.42
"E",10,131.97
"E",11,143.03
"E",12,135.57
"E",13,124.25
"E",14,149.29
"E",15,161.29
"E",1,111.97
"E",2,103.15
"E",3,109.01
"E",4,127.98
"E",5,110.52
"E",6,119.14
"E",7,128.76
"E",8,121.32
"E",9,126.7
"E",10,140.38
"E",11,131.37
"E",12,146.5
"E",13,133.94
"E",14,129.53
"E",15,158.92
"E",1,101.1
"E",2,101.75
"E",3,104.5
"E",4,122.91
"E",5,106.21
"E",6,129.8
"E",7,113.87
"E",8,126.28
"E",9,129.13
"E",10,140.44
"E",11,121.08
"E",12,139.54
"E",13,144.3
"E",14,154.71
"E",15,163.83
"F",1,118.97
"F",2,138.7
"F",3,143.8
"F",4,156.47
"F",5,144.4
"F",6,163.23
"F",7,153.77
"F",8,152.67
"F",9,166.22
"F",10,167.01
"F",11,171.86
"F",12,183.11
"F",13,170.8
"F",14,175.01
"F",15,179.03
"F",1,144.29
"F",2,158.71
"F",3,150.17
"F",4,154.68
"F",5,167.29
"F",6,142.05
"F",7,134.58
"F",8,142.62
"F",9,163.04
"F",10,163.8
"F",11,133.65
"F",12,185.33
"F",13,171.62
"F",14,177.23
"F",15,186.55
"F",1,114.93
"F",2,125.97
"F",3,151.02
"F",4,166.2
"F",5,153.96
"F",6,158.19
"F",7,131.65
"F",8,169.28
"F",9,173.75
"F",10,159.14
"F",11,169.44
"F",12,182.11
"F",13,200.86
"F",14,164.26
"F",15,194.22
"F",1,148.04
"F",2,145.95
"F",3,141.9
"F",4,140.02
"F",5,147.52
"F",6,159.8
"F",7,139.41
"F",8,141.24
"F",9,151.14
"F",10,145.97
"F",11,146.55
"F",12,187.72
"F",13,163
"F",14,171.72
"F",15,167.55
"F",1,137.39
"F",2,141.18
"F",3,152.92
"F",4,136.19
"F",5,160.78
"F",6,150.78
"F",7,136.68
"F",8,170.49
"F",9,178.56
"F",10,173.4
"F",11,161.81
"F",12,154.15
"F",13,174.79
"F",14,161.35
"F",15,159.18
"F",1,139.75
"F",2,130.99
"F",3,133.36
"F",4,133.96
"F",5,161.7
"F",6,129.56
"F",7,147.22
"F",8,163.28
"F",9,163.49
"F",10,155.93
"F",11,166.35
"F",12,168.35
"F",13,195.07
"F",14,179.2
"F",15,173.47
"F",1,145.69
"F",2,119
"F",3,144.91
"F",4,157.05
"F",5,131.12
"F",6,153.09
"F",7,164.42
"F",8,170.07
"F",9,178.69
"F",10,187.15
"F",11,169.59
"F",12,160.28
"F",13,165
"F",14,186.5
"F",15,162.15
"F",1,137.24
"F",2,120.44
"F",3,126.88
"F",4,146.1
"F",5,138.22
"F",6,138.89
"F",7,144.52
"F",8,173.76
"F",9,143.01
"F",10,164.86
"F",11,161.37
"F",12,207.22
"F",13,172.38
"F",14,200.35
"F",15,192.18
"F",1,111.77
"F",2,141.03
"F",3,146.86
"F",4,142.2
"F",5,121.44
"F",6,176.76
"F",7,150.39
"F",8,139.04
"F",9,175.29
"F",10,160.47
"F",11,170.14
"F",12,161.13
"F",13,152.26
"F",14,175.87
"F",15,190.79
"F",1,130.86
"F",2,135.02
"F",3,141.02
"F",4,146.8
"F",5,142.27
"F",6,145.36
"F",7,143.66
"F",8,139.28
"F",9,142.14
"F",10,153.82
"F",11,157.97
"F",12,165.91
"F",13,159.35
"F",14,166.96
"F",15,200
"G",1,123.33
"G",2,125.62
"G",3,125.82
"G",4,118.77
"G",5,126.26
"G",6,132.5
"G",7,141.58
"G",8,143.72
"G",9,169.28
"G",10,147.28
"G",11,146.01
"G",12,139
"G",13,149.96
"G",14,196.72
"G",15,172.98
"G",1,129.74
"G",2,124.98
"G",3,128.23
"G",4,127.74
"G",5,139.96
"G",6,154.15
"G",7,151.28
"G",8,141.48
"G",9,149
"G",10,134.06
"G",11,168.53
"G",12,180.19
"G",13,144.13
"G",14,165.55
"G",15,158.87
"G",1,104.62
"G",2,135.25
"G",3,140.02
"G",4,153.93
"G",5,139.28
"G",6,115.18
"G",7,146.36
"G",8,135.86
"G",9,145.36
"G",10,154.23
"G",11,155.79
"G",12,168.02
"G",13,154.34
"G",14,157.68
"G",15,171.56
"G",1,129.37
"G",2,117.83
"G",3,118.13
"G",4,117.67
"G",5,124.36
"G",6,133.54
"G",7,126.62
"G",8,152.38
"G",9,123.21
"G",10,149.5
"G",11,137.71
"G",12,173.06
"G",13,156.06
"G",14,179.22
"G",15,164.36
"G",1,116.36
"G",2,110.33
"G",3,89.34
"G",4,149.35
"G",5,116.49
"G",6,167.52
"G",7,144.41
"G",8,137.39
"G",9,156.07
"G",10,161.85
"G",11,152.23
"G",12,160.18
"G",13,184.14
"G",14,149
"G",15,168.78
"G",1,128.37
"G",2,105.64
"G",3,104.76
"G",4,145.87
"G",5,124.4
"G",6,124.55
"G",7,140.1
"G",8,137.52
"G",9,141.07
"G",10,134.41
"G",11,144.12
"G",12,168.66
"G",13,168.11
"G",14,158.15
"G",15,198.18
"G",1,136.56
"G",2,113.69
"G",3,124.94
"G",4,91.11
"G",5,144.73
"G",6,143.59
"G",7,134.59
"G",8,141.82
"G",9,148.77
"G",10,163.48
"G",11,143.38
"G",12,171.27
"G",13,171.17
"G",14,157.37
"G",15,165.94
"G",1,140.86
"G",2,120.63
"G",3,109.53
"G",4,112.14
"G",5,132.49
"G",6,139.78
"G",7,143.51
"G",8,140.98
"G",9,124.18
"G",10,145.98
"G",11,166
"G",12,130.88
"G",13,169.48
"G",14,148.19
"G",15,166.75
"G",1,102.16
"G",2,132.29
"G",3,119.04
"G",4,134.75
"G",5,123.77
"G",6,122.81
"G",7,122.52
"G",8,130.35
"G",9,143.5
"G",10,167.87
"G",11,161.74
"G",12,150.94
"G",13,165.02
"G",14,153.82
"G",15,162.03
"H",1,129.95
"H",2,158.25
"H",3,137.86
"H",4,140.2
"H",5,120.32
"H",6,157.93
"H",7,162.24
"H",8,137.77
"H",9,157.22
"H",10,152.67
"H",11,165.62
"H",12,163.16
"H",13,181.69
"H",14,177.4
"H",15,179.71
"H",1,132.2
"H",2,114.25
"H",3,124.14
"H",4,152.58
"H",5,144.69
"H",6,150.41
"H",7,136.3
"H",8,174.88
"H",9,151.97
"H",10,165.61
"H",11,161.9
"H",12,177.09
"H",13,162.76
"H",14,184.89
"H",15,188.68
"H",1,120.68
"H",2,115.81
"H",3,139.54
"H",4,116.27
"H",5,149.97
"H",6,153.82
"H",7,157.75
"H",8,150.3
"H",9,175.08
"H",10,159.4
"H",11,154.96
"H",12,164.26
"H",13,159.31
"H",14,162.78
"H",15,180.88
"H",1,128.87
"H",2,123.14
"H",3,133.48
"H",4,137.71
"H",5,139.84
"H",6,163.73
"H",7,144.24
"H",8,160.38
"H",9,153.92
"H",10,150.48
"H",11,155.28
"H",12,169.6
"H",13,166.08
"H",14,176.82
"H",15,182.21
"H",1,135.6
"H",2,122
"H",3,148.95
"H",4,120.5
"H",5,124.02
"H",6,157.54
"H",7,162.17
"H",8,142.33
"H",9,162.1
"H",10,147.83
"H",11,180.03
"H",12,168.67
"H",13,170.24
"H",14,171.91
"H",15,166.68
"H",1,136.65
"H",2,131.99
"H",3,140.43
"H",4,131.27
"H",5,138.62
"H",6,148.75
"H",7,132.89
"H",8,144.33
"H",9,151.1
"H",10,166.35
"H",11,155.14
"H",12,157.36
"H",13,175.69
"H",14,167.78
"H",15,188.72
"H",1,111.8
"H",2,128.26
"H",3,127.71
"H",4,134.09
"H",5,149.82
"H",6,153.3
"H",7,142.52
"H",8,135.29
"H",9,149.72
"H",10,173.89
"H",11,164.26
"H",12,159.44
"H",13,171.75
"H",14,183.32
"H",15,197.11
"H",1,133.7
"H",2,122.33
"H",3,157.88
"H",4,140.09
"H",5,156.72
"H",6,159.16
"H",7,130.12
"H",8,169.68
"H",9,156.17
"H",10,152.66
"H",11,165.19
"H",12,168.86
"H",13,171.92
"H",14,173.83
"H",15,193.57
"H",1,138.5
"H",2,135.31
"H",3,129.94
"H",4,151.4
"H",5,149.58
"H",6,142.36
"H",7,145.25
"H",8,151.27
"H",9,155.75
"H",10,164.67
"H",11,173.16
"H",12,170.26
"H",13,155.25
"H",14,178.79
"H",15,189.72
"H",1,115.64
"H",2,113.56
"H",3,143.38
"H",4,135.46
"H",5,147.86
"H",6,144.11
"H",7,167.06
"H",8,165.42
"H",9,163.66
"H",10,169.06
"H",11,173.83
"H",12,179.17
"H",13,162.62
"H",14,190.85
"H",15,165.03
