Species,Treatment,body.mass
A,diet2,72.57573164
A,diet2,74.51745555
A,diet2,65.15637563
A,diet2,72.14769537
A,diet2,71.98447143
A,diet2,67.09187698
A,diet2,66.95534668
A,diet2,70.90806049
A,diet2,68.6411417
A,diet2,68.63550557
A,diet2,69.05777473
A,diet2,70.07938059
A,diet2,63.28672332
A,diet2,77.05660201
A,diet2,71.91719146
A,diet2,58.53408107
A,diet2,65.43007852
A,diet2,69.4761176
A,diet2,62.9852851
A,diet2,64.87561464
A,diet2,65.56670524
A,diet2,76.95541831
A,diet2,70.7032489
A,diet2,73.76090502
A,diet2,60.14252281
A,diet2,68.20886312
A,diet2,81.54582884
A,diet2,71.80572624
A,diet2,78.32161765
A,diet2,76.01408716
A,diet2,67.10963789
A,diet2,69.2998015
A,diet2,69.71680131
B,diet1,31.84753616
B,diet1,24.8385667
B,diet1,33.11580307
B,diet1,36.95782737
B,diet1,33.55367155
B,diet1,26.85143529
B,diet1,33.17415063
B,diet1,27.18267015
B,diet1,43.31697441
B,diet1,31.42349291
B,diet1,28.04098832
B,diet1,25.00452393
B,diet1,34.54033717
B,diet1,32.56579442
B,diet1,31.0309003
B,diet1,21.75117513
B,diet1,36.37193689
B,diet1,38.51972275
B,diet1,27.90539402
B,diet1,31.36347224
B,diet1,34.22393795
B,diet1,38.09446395
B,diet1,30.76025651
B,diet1,27.27641787
B,diet1,23.77356049
B,diet1,33.22849674
B,diet1,30.21869441
B,diet1,26.51164767
B,diet1,28.9908144
B,diet1,33.82254645
B,diet1,30.67607443
B,diet1,26.38516079
B,diet1,27.71758554
B,diet1,32.76087329
B,diet1,28.89550686
B,diet1,23.9827237
B,diet1,27.97590336
B,diet1,27.30617133
B,diet1,25.55398745
B,diet1,28.9478242
B,diet1,27.86544161
B,diet1,34.71410068
B,diet1,27.27021936
B,diet1,31.53199865
B,diet1,36.02450813
B,diet1,28.8081989
B,diet1,39.02803708
B,diet1,38.75782176
B,diet1,31.93965655
B,diet1,31.57461427
B,diet1,25.66152308
B,diet1,28.51839812
B,diet1,26.3673728
B,diet1,35.40072235
B,diet1,39.09276837
B,diet1,30.91302853
B,diet1,26.18928067
B,diet1,27.44161122
B,diet1,28.5095937
B,diet1,27.45307875
B,diet1,26.1987537
B,diet1,35.8943523
B,diet1,34.15203182
B,diet1,41.38618462
B,diet1,38.32364135
B,diet1,39.30519065
B,diet1,41.84750122
B,diet1,20.26395359
B,diet1,34.13100882
B,diet1,34.54494185
B,diet1,18.00760689
B,diet1,31.73684448
B,diet1,28.86991833
B,diet1,35.48717804
B,diet1,36.16756669
B,diet1,23.03467893
B,diet1,29.30472081
B,diet1,35.2931091
B,diet1,27.49330772
B,diet1,28.15578103
B,diet1,30.90672017
B,diet1,23.04306493
B,diet1,33.16780173
B,diet1,26.28689059
B,diet1,27.70100324
B,diet1,28.16365366
B,diet1,23.2902106
B,diet1,27.16596254
B,diet1,27.45673365
B,diet1,29.11645558
B,diet1,34.18306951
B,diet1,30.01764839
B,diet1,35.41229429
B,diet1,32.5418717
B,diet1,32.58846172
B,diet1,38.39548279
B,diet1,27.76956121
B,diet1,32.81324854
B,diet1,33.13343867
B,diet1,42.68100468
B,diet2,31.28767023
B,diet2,29.87057837
B,diet2,27.4755708
B,diet2,30.77425274
B,diet2,28.44405458
B,diet2,28.01153325
B,diet2,26.08895692
B,diet2,26.20187582
B,diet2,24.93614838
B,diet2,21.92133866
B,diet2,25.90869998
B,diet2,21.58339466
B,diet2,24.9575676
B,diet2,29.70447417
B,diet2,36.16239104
B,diet2,30.76640361
B,diet2,26.28468134
B,diet2,33.84083827
B,diet2,25.21895101
B,diet2,42.12769362
B,diet2,27.97321326
B,diet2,36.07972008
B,diet2,26.04611212
B,diet2,33.33316323
B,diet2,26.71968019
B,diet2,31.53363317
B,diet2,29.74690475
B,diet2,30.7905498
B,diet2,29.79095455
B,diet2,31.24009988
B,diet2,28.59757118
B,diet2,34.45262714
B,diet2,38.93407083
B,diet2,32.42689428
B,diet2,30.90971203
B,diet2,28.38712401
B,diet2,28.93696057
B,diet2,31.08209885
B,diet2,41.17585726
B,diet2,34.02207286
B,diet2,28.50161189
B,diet2,24.44946105
B,diet2,18.85354364
B,diet2,24.08944131
B,diet2,24.54170735
B,diet2,20.2955732
B,diet2,39.77156515
B,diet2,32.05338858
B,diet2,25.24362937
B,diet2,34.14535626
B,diet2,24.59301643
B,diet2,35.23631366
B,diet2,25.34909942
B,diet2,29.04103449
B,diet2,37.31950304
B,diet2,37.59948764
B,diet2,25.6522259
B,diet2,27.82774811
B,diet2,26.20801687
B,diet2,31.6124049
B,diet2,38.03986528
B,diet2,20.51109785
B,diet2,26.53130429
B,diet2,22.42469137
B,diet2,35.12405054
B,diet2,35.47995329
B,diet2,30.49304023
B,diet2,22.96065129
B,diet2,36.35779563
B,diet2,35.0235573
B,diet2,27.74691459
B,diet2,32.63197124
B,diet2,30.13842956
B,diet2,32.14310403
B,diet2,31.27489427
B,diet2,27.24733183
B,diet2,23.9002048
B,diet2,27.786088
B,diet2,39.74812834
B,diet2,30.48477439
B,diet2,26.75667738
B,diet2,26.2412779
B,diet2,32.54283208
B,diet2,27.84422909
B,diet2,36.44968267
B,diet2,35.41041599
B,diet2,36.82565338
B,diet2,34.52899633
B,diet2,34.13995618
B,diet2,33.29966391
B,diet2,29.74528577
B,diet2,28.37870077
B,diet2,34.66724508
B,diet2,20.64825109
B,diet2,28.96202489
B,diet2,32.60577639
B,diet2,29.28577402
B,diet2,36.8603421
B,diet2,31.16671981
B,diet2,31.73063996
